total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.0041203965,0.0041207925,425517056.0,2995267876.571429,0.577,0.0067511754,1.94474e-05,495457909.0,615332928.0,892965195.0,2.6e-09,0.0
0.0032963172,0.0032966628,444273049.6,2986252288.0,0.746,0.0033009016,1.06281e-05,451479448.0,678578404.0,703132828.0,5.6e-09,0.0
0.0040454802,0.004045869,446428774.4,2971984691.2,0.646,0.0041843034,1.38178e-05,310514557.0,491085931.0,612191256.0,6e-09,0.0
0.0030715683,0.0030718851,449642086.4,2951002931.2,0.62,0.0031065421,9.7934e-06,313784975.0,414865456.0,576941522.0,4.9e-09,0.0
0.0062929692,0.0062411255,458822860.8,3086099251.2,0.874,0.0062176048,1.79597e-05,510206293.0,688457963.0,803221627.0,8.4e-09,0.0
0.0053190573,0.0053195685,464404480.0,3089449779.2,0.763,0.0053926562,1.541e-05,496107135.0,603155901.0,700968533.0,8e-09,0.0
0.0017230749,0.0017232333,465173299.2,3008040550.4,0.462,0.0018163517,5.8586e-06,389999530.0,425426090.0,596846078.0,2.4e-09,0.0
0.0054688899,0.0054693939,466126028.8,3049164800.0,0.872,0.0055387103,1.93989e-05,390374186.0,510990393.0,703168556.0,7.4e-09,0.0
0.0047197269,0.0047201949,467451084.8,3070985830.4,0.722,0.004720176,1.51015e-05,500037286.0,653318060.0,703236127.0,6.9e-09,0.0
0.0044200617,0.0044205009,469550694.4,3062593126.4,0.782,0.0043208192,1.39128e-05,510547072.0,649255339.0,871986026.0,7e-09,0.0
0.0032963172,0.0032966196,470282240.0,3034897203.2,0.65,0.0033340783,1.08411e-05,393760447.0,496534131.0,584487936.0,4.8e-09,0.0
0.0035959824,0.0035439084,470518579.2,3029861580.8,0.769,0.0035689106,1.21382e-05,396854636.0,505263320.0,679518352.0,5.6e-09,0.0
0.0043451454,0.004345527,471378329.6,3074526412.8,0.621,0.0044090474,1.27374e-05,596598456.0,739555264.0,899105806.0,6.1e-09,0.0
0.0051692247,0.005222133,472066867.2,3064533811.2,0.769,0.0053445556,1.65272e-05,482342337.0,594185950.0,704083367.0,7.8e-09,0.0
0.0017979912,0.0017981928,472618188.8,3022570291.2,0.386,0.0018638642,5.9798e-06,486418069.0,602602295.0,703920907.0,3.5e-09,0.0
0.0050193921,0.0050198745,472947097.6,3042712780.8,0.82,0.0050908391,1.67006e-05,391064802.0,520173012.0,747431274.0,7.3e-09,0.0
0.0046448106,0.0046452282,473353011.2,3054462566.4,0.769,0.004724106,1.49732e-05,421832740.0,603512964.0,738253342.0,6.7e-09,0.0
0.0044200617,0.0044205297,473957171.2,3080479948.8,0.717,0.0044932239,1.50601e-05,578364937.0,709725509.0,797914454.0,7.2e-09,0.0
0.0025471542,0.0025473918,473955532.8,3019213209.6,0.671,0.0026321415,8.9542e-06,394637760.0,489070457.0,511234882.0,3.9e-09,0.0
0.0042702291,0.0042706467,475327692.8,3038516428.8,0.73,0.004358348,1.45567e-05,315851553.0,501496481.0,578775584.0,6.6e-09,0.0
0.0039705639,0.0039709239,475903590.4,3074605056.0,0.639,0.0041316966,1.23327e-05,510151810.0,706258085.0,842429210.0,5.9e-09,0.0
0.0050193921,0.0049449438,476098560.0,3082997760.0,0.737,0.0049384278,1.54446e-05,410351413.0,598209600.0,847542221.0,7.3e-09,0.0
0.0029217357,0.0028565331,476594176.0,3050266214.4,0.449,0.0028919318,8.8868e-06,497015315.0,690239855.0,704658674.0,5.1e-09,0.0
0.0041203965,0.0041207709,476612198.4,3041873510.4,0.84,0.0041701015,1.39126e-05,401325844.0,576746527.0,603600053.0,5.8e-09,0.0
0.0043451454,0.0043455486,477511680.0,3043552051.2,0.733,0.0043809523,1.52386e-05,399723227.0,604198153.0,793232237.0,6.5e-09,0.0
