total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.001498326,0.001498506,296078131.2,2803155763.2,0.435,0.001510197,5.5236e-06,404192291.0,6426318956.0,6446140111.0,2.6e-09,0.0
0.0049444758,0.004944951,371898368.0,3131384627.2,0.668,0.0050167858,1.4955e-05,483982936.0,592749747.0,670531386.0,6.7e-09,0.0
0.0053939736,0.005394492,408768102.4,3137259520.0,0.899,0.0054662443,1.71072e-05,385856731.0,605629572.0,882929149.0,7.2e-09,0.0
0.0047946432,0.004795104,425595699.2,3131384627.2,0.757,0.0048502315,1.53018e-05,392689388.0,491720869.0,655798075.0,6.8e-09,0.0
0.004494978,0.0044429768,430643200.0,3111242137.6,0.649,0.0044115756,1.35908e-05,388777482.0,498510790.0,614338705.0,6.6e-09,0.0
0.0049444758,0.004997363,440800142.2222222,3133063168.0,0.787,0.0051718287,1.5593e-05,412249044.0,597305595.0,696789803.0,8e-09,0.0
0.0033712335,0.0033715791,447256985.6,3105367244.8,0.78,0.0033904734,1.17904e-05,398416314.0,512736381.0,692851325.0,5.5e-09,0.0
0.0049444758,0.0049449222,452809113.6,3166686412.8,0.681,0.0050269264,1.43406e-05,596618220.0,808693663.0,969323158.0,6.7e-09,0.0
0.0030715683,0.0030718779,456921497.6,3093879603.2,0.737,0.0029552274,1.07934e-05,383275359.0,454313386.0,495060861.0,5e-09,0.0
0.0056187225,0.0056192841,464166502.4,3153467801.6,0.85,0.0057324498,1.81616e-05,397707024.0,508097196.0,701797147.0,8.6e-09,0.0
0.0029217357,0.0029220165,466289049.6,3131646771.2,0.411,0.0030018752,8.9764e-06,492373015.0,696784522.0,770432904.0,4.4e-09,0.0
0.0035959824,0.0035962848,473990348.8,3094718873.6,0.674,0.0036425768,1.2629e-05,394421752.0,591095135.0,711797726.0,5.5e-09,0.0
