total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.00202274,0.002022913,720729702.4,3169039155,0.252,0.004124183,1.43169e-05,395826702,588272472,607524114,1.2e-09,0,0
0.005693639,0.005694208,720766976,3237859328,0.86,0.005728529,1.89965e-05,587736775,701352019,982690445,8.8e-09,0,0
0.002322405,0.002322629,720664576,3132950528,0.643,0.002338568,8.6872e-06,391692724,407721201,590366854,3.1e-09,0,0
0.004494978,0.004495432,720630169.6,3161485722,0.798,0.004483312,1.58924e-05,388879129,501111974,593434874,6.7e-09,0,0
0.003970564,0.004029896,720637952,3180788941,0.65,0.004133218,1.42219e-05,450823214,598889067,701585763,5.8e-09,0,0
0.005843471,0.005844069,720864870.4,3190860186,0.888,0.005826477,2.06709e-05,448485891,606576089,772613610,9e-09,0,0
0.003820731,0.003821099,720782131.2,3172396237,0.54,0.003868206,1.37644e-05,418543713,602448650,805621648,5.1e-09,0,0
0.003895648,0.003896,720767385.6,3143861043,0.744,0.003975053,1.35914e-05,336940962,437233005,593362056,5.1e-09,0,0
0.002097656,0.002097872,733399040,3757427507,0.815,0.002105198,7.5406e-06,614567488,1076886548,1504005632,3.7e-09,0,1
0.002996652,0.003055934,733385932.8,3779248538,0.902,0.003197622,1.20383e-05,989200205,1301839792,2982697797,4.6e-09,0,1
0.001498326,0.001498499,733329817.6,3746516992,0.899,0.001497437,5.7289e-06,1005145371,1371886062,2508435061,2.7e-09,0,1
0.00202274,0.00202292,733323264,3743999181,0.902,0.0020631,7.646e-06,788834592,1200168025,3490717490,2.7e-09,0,1
0.000973912,0.00097402,733301964.8,3728892314,0.899,0.000991402,3.6547e-06,885587492,1447840820,2706259938,1.7e-09,0,1
0.003296317,0.003296648,733392076.8,3779248538,0.901,0.003363218,1.20964e-05,912354171,1270199855,3592683892,4.7e-09,0,1
0.002472238,0.002472504,733487923.2,3754909696,0.899,0.002523567,9.8575e-06,893102015,1199589593,3304395598,4.1e-09,0,1
0.000224749,0.000224763,733419520,3695321498,0.898,0.000227725,9.598e-07,2746418862,4888272513,4888272513,2e-10,0,1
0.002322405,0.002322607,733473177.6,3757427507,0.899,0.002357953,8.4853e-06,894407787,1148736464,2209841978,3.3e-09,0,1
0.002397322,0.00239753,733418700.8,3751552614,0.898,0.002419341,9.014e-06,813340549,1094038057,2791196562,3.1e-09,0,1
0.003146485,0.003146809,733435904,3790159053,0.902,0.003130743,1.16409e-05,997313888,1259272490,1591880514,4.9e-09,0,1
0.000973912,0.000974013,733316300.8,3707910554,0.898,0.000990668,4.0056e-06,992092724,1382957969,2095512340,1.4e-09,0,1
0.001947824,0.001948025,733335552,3743999181,0.898,0.00198483,7.2962e-06,804134282,1205714258,1390973902,3e-09,0,1
0.00202274,0.00202292,733335552,3760784589,0.901,0.002076711,7.3434e-06,999897834,1564929336,3796032227,2.7e-09,0,1
0.002696987,0.002697282,733319168,3772534374,0.902,0.002741942,9.9326e-06,910522877,1290456340,1604193606,4.5e-09,0,1
0.002172573,0.002172782,733254041.6,3743999181,0.898,0.002217771,8.4266e-06,900215320,1209189617,3499784088,2.9e-09,0,1
0.000674247,0.000674304,733196288,3701196390,0.902,0.000686552,2.7952e-06,1094382266,1334445819,1384897205,8e-10,0,1
0.004120397,0.004120807,733501849.6,3756588237,0.893,0.004084702,1.49978e-05,493600951,976305507,1930882994,5.8e-09,0,0
0.005319057,0.005319533,720844390.4,3211002675,0.728,0.005388254,1.76132e-05,476518194,589438727,759001465,7.8e-09,0,0
0.004494978,0.004495432,720812441.6,3202609971,0.779,0.004487387,1.62086e-05,498110962,612469162,798108272,6.8e-09,0,0
0.003521066,0.003521376,720750182.4,3167360614,0.66,0.003561118,1.25022e-05,404007893,496096500,584314082,5.2e-09,0,0
0.00404548,0.004045876,720671948.8,3153932288,0.767,0.004077346,1.43802e-05,306503588,509578613,694056666,6e-09,0,0
0.004719727,0.004720145,720669081.6,3229466624,0.702,0.004781857,1.64989e-05,499554586,713520433,885116377,6.3e-09,0,0
0.005169225,0.005169714,720752230.4,3211002675,0.752,0.005189485,1.75816e-05,485825709,595172334,699305191,7.7e-09,0,0
0.001797991,0.001798193,720798924.8,3139664691,0.405,0.001814,6.8101e-06,403327068,586652414,614848833,3.6e-09,0,0
0.005094308,0.005094791,720805478.4,3169878426,0.858,0.005148819,1.76915e-05,398733659,511534804,714489978,7.2e-09,0,0
0.004944476,0.004944951,720751820.8,3184985293,0.77,0.00506904,1.78804e-05,412839439,606073042,825433663,7.5e-09,0,0
0.005019392,0.005019896,720709222.4,3184985293,0.765,0.005078312,1.67559e-05,500644795,682811537,802431781,7.8e-09,0,0
