total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.003221401,0.003221675,725852979.2,3155729203,0.668,0.00325336,1.15554e-05,319587195,441864820,564203474,4.1e-09,0,0
0.004569894,0.00457037,725822259.2,3156568474,0.797,0.004621955,1.7748e-05,393383747,500964270,600494196,7.4e-09,0,0
0.006367886,0.006368505,725948825.6,3230424269,0.858,0.006504722,2.33117e-05,473427757,593855638,755454052,8.7e-09,0,0
0.00546889,0.005342101,725995520,3229584998,0.776,0.005365621,1.78266e-05,516113369,701878741,895845970,8.6e-09,0,0
0.005543806,0.005544303,725910732.8,3222031565,0.729,0.005641191,1.94975e-05,413745059,683680487,890823268,7e-09,0,0
0.003670899,0.00367128,725870182.4,3164961178,0.76,0.003711242,1.35588e-05,482611767,603528809,700247946,6.1e-09,0,0
0.003745815,0.003746168,725812019.2,3151532851,0.605,0.003865469,1.39912e-05,316157186,483238692,521567542,5.4e-09,0,0
0.003670899,0.003671273,725776793.6,3149854310,0.75,0.003710787,1.40427e-05,310815218,496377063,601237192,5.9e-09,0,0
0.001947824,0.001948004,725744025.6,3125515469,0.512,0.001967298,7.2618e-06,312168696,410891136,476113201,2.5e-09,0,0
0.005843471,0.005844047,726001254.4,3178389504,0.9,0.005915696,2.10913e-05,368909876,503488145,738452795,8.1e-09,0,0
0.005094308,0.005094762,726008217.6,3197692723,0.721,0.00516086,1.72822e-05,491939004,604176119,693305123,7.2e-09,0,0
0.005244141,0.005244659,725959475.2,3229584998,0.75,0.005323424,1.84924e-05,579836107,713728110,816264148,8e-09,0,0
0.004494978,0.004495432,725877145.6,3190978560,0.648,0.004558463,1.63273e-05,407061330,642252049,705996630,7.1e-09,0,0
0.004494978,0.00442053,725828812.8,3180068045,0.75,0.004424192,1.63194e-05,417812482,684621135,843481614,7.2e-09,0,0
0.003371234,0.003312577,725819801.6,3149015040,0.654,0.003361132,1.14854e-05,391361326,416958778,603510998,4.8e-09,0,0
0.003820731,0.003821091,726022144,3159086285,0.717,0.003862477,1.4144e-05,302431723,481889120,508970102,6e-09,0,0
