total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.004644811,0.004645235,530970624,3152608051,0.849,0.004701609,1.61785e-05,401141752,501174847,596487249,6.6e-09,0,0
0.004420062,0.004420465,531046809.6,3141697536,0.771,0.004480978,1.6367e-05,391361040,599652568,708733519,6.6e-09,0,0
0.006143137,0.006143713,531060326.4,3215553331,0.863,0.006282007,2.01041e-05,512407081,698762726,800161032,9.2e-09,0,0
0.00404548,0.004045689,530965708.8,3239944602,0.786,0.004094274,1.45095e-05,401257585,1474971371,1812492274,3.7e-09,0,1
0.004569894,0.004511447,552554905.6,3413399142,0.753,0.004420277,1.56203e-05,1719738466,2538813597,2902095244,9.1e-09,0,1
0.004345145,0.00434557,560304537.6,3141048730,0.762,0.004320307,1.57505e-05,311162603,502467261,594326130,6.6e-09,0,0
0.004120397,0.004061841,560311910.4,3167066112,0.636,0.004100439,1.2498e-05,585363385,695482936,851370008,6.1e-09,0,0
0.005169225,0.005235262,560232857.6,3171262464,0.775,0.005342313,1.92293e-05,406050071,570889581,605078206,7.7e-09,0,0
0.00202274,0.002022971,560147251.2,3136013107,0.413,0.002011138,7.2285e-06,412561311,607742516,694240807,4.1e-09,0,0
0.00404548,0.004045862,560171417.6,3130977485,0.899,0.004181507,1.62072e-05,318936966,475284893,509166148,5.7e-09,0,0
0.006667551,0.006668163,560226304,3198958387,0.899,0.006627673,2.40638e-05,402691765,596324391,651880975,9.6e-09,0,0
0.006442802,0.006371327,561158144,3266890547,0.901,0.006515597,2.06981e-05,689109095,838952141,1054556855,9.2e-09,0,1
0.00606822,0.00600327,563181568,3352896717,0.899,0.006031109,1.85122e-05,991217576,1249292864,1454401533,9e-09,0,1
0.005693639,0.005566851,580252876.8,3421716890,0.901,0.005703713,1.80648e-05,1298155442,1791700192,2232988406,8.2e-09,0,1
0.006143137,0.0060913,601971507.2,3534179123,0.898,0.006375546,2.00354e-05,1601432781,1903357730,2235376473,8.6e-09,0,1
0.00606822,0.006121187,624168140.8,3626670899,0.898,0.006172844,1.96829e-05,1890924589,2119755310,2306594213,8.6e-09,0,1
0.005918388,0.005905843,638391910.4,3628275302,0.899,0.006046272,1.94968e-05,1975417072,2395627221,2770377336,8.8e-09,0,1
0.005843471,0.00591612,651141939.2,3650935603,0.897,0.006179507,2.00435e-05,2012397892,2297126831,2622775411,8.6e-09,0,1
0.005393974,0.00546943,655668838.4,3646739251,0.9,0.005631664,1.79956e-05,2097219071,2588255082,2858057110,8.2e-09,0,1
0.005918388,0.00591244,661306163.2,3637507277,0.9,0.005870612,1.87329e-05,1910434854,2388873338,2848769955,9.6e-09,0,1
0.006218053,0.006218636,667471052.8,3617364787,0.898,0.006183995,2.05976e-05,1781031789,2099795153,2452941894,8.8e-09,0,1
0.006592634,0.006593254,670659788.8,3630793114,0.899,0.006545008,2.22719e-05,1713218297,2110454637,2552112691,9.4e-09,0,1
0.006367886,0.006486421,673674035.2,3584633242,0.897,0.006499644,2.0106e-05,1694078122,2091894305,2243933276,9.5e-09,0,1
0.006367886,0.006368498,674288435.2,3493152768,0.899,0.006425348,1.97127e-05,1394277405,1699723215,2018599931,9.3e-09,0,1
0.006143137,0.006215821,674554675.2,3383208346,0.899,0.006373381,2.06242e-05,1080300616,1384907820,1552912669,9.6e-09,0,1
0.006442802,0.006443428,675072819.2,3318584525,0.899,0.00646163,2.21294e-05,703105173,968217596,1204296811,9.7e-09,0,1
0.005918388,0.005918978,674925363.2,3235496755,0.899,0.005960056,2.1568e-05,503047273,695816113,828974415,9.3e-09,0,0
0.00486956,0.00487002,674877849.6,3166676582,0.899,0.004869506,1.80964e-05,395392060,512499006,670206738,7.1e-09,0,0
0.00142341,0.001423561,675024896,3120516710,0.428,0.001442579,5.8868e-06,193691270,391843985,489240680,2.7e-09,0,0
0.004644811,0.004645235,675040460.8,3174230016,0.86,0.004770568,1.69995e-05,381342414,478582075,502088747,6.7e-09,0,0
0.004494978,0.004495388,674985984,3163319501,0.757,0.004543835,1.60241e-05,386383288,519535310,680423798,7.1e-09,0,0
0.005918388,0.005853416,674993356.8,3201086669,0.85,0.005990197,2.05195e-05,521939979,694657741,863188494,8.5e-09,0,0
0.004345145,0.004345383,674967961.6,3242210918,0.775,0.004413094,1.47552e-05,387220014,646231108,1595339596,4.1e-09,0,1
0.005094308,0.005035969,679929036.8,3446153626,0.754,0.005073337,1.83367e-05,1745688538,2410122154,2857566318,9.6e-09,0,1
0.004120397,0.004120793,680421785.6,3155766067,0.754,0.004130787,1.55135e-05,308142148,505833677,659701258,6.5e-09,0,0
0.004120397,0.004120814,680438988.8,3190176154,0.647,0.004173539,1.44159e-05,511687106,708437222,799737353,6.2e-09,0,0
0.004719727,0.004720181,680407040,3185979802,0.753,0.004804665,1.63578e-05,484315159,598830002,699935490,7.2e-09,0,0
0.002097656,0.00209788,680330854.4,3148212634,0.4,0.002002029,6.9606e-06,493283257,652810258,725347294,4e-09,0,0
0.003970564,0.003970924,680363622.4,3149891174,0.9,0.004013317,1.47991e-05,324461591,499523960,605023582,5.4e-09,0,0
0.006442802,0.006443399,680477900.8,3212836454,0.899,0.006561799,2.17434e-05,406197931,586167580,744888606,9.1e-09,0,0
0.006517718,0.006518345,680597094.4,3275781734,0.9,0.006697549,2.26728e-05,682790544,807538228,996921437,9.6e-09,0,1
0.006442802,0.006495818,680543027.2,3356351693,0.899,0.006608872,2.18741e-05,900140492,1221820409,1594664505,9.4e-09,0,1
0.005918388,0.005918957,680892416,3465456845,0.896,0.006173018,1.88276e-05,1299908354,1595902814,1872976632,8.2e-09,0,1
0.005993304,0.006068724,682113433.6,3525884314,0.9,0.006107666,1.93425e-05,1599037959,1985631312,2293755469,8.6e-09,0,1
0.00546889,0.005469416,687233024,3623239680,0.899,0.005571498,1.79491e-05,2094867665,2482941867,2903807208,8e-09,0,1
0.005843471,0.005918949,689679974.4,3638346547,0.898,0.005960737,1.77465e-05,1994856985,2315705680,3019812739,8.4e-09,0,1
0.005693639,0.005641767,691170099.2,3640864358,0.899,0.005790501,1.68803e-05,2075203081,2394180830,2670019369,8.6e-09,0,1
0.00606822,0.006016384,695419699.2,3624918221,0.898,0.006158349,1.94628e-05,1999035886,2478284194,2926240850,8.8e-09,0,1
0.005543806,0.005485402,700665446.4,3654292685,0.9,0.005759655,1.89093e-05,2095991108,2587665365,2856838860,8.2e-09,0,1
0.005543806,0.005596751,703621529.6,3669399552,0.899,0.005716586,1.80798e-05,2103744414,2614318111,2902323094,8.1e-09,0,1
0.005993304,0.005928346,700656844.8,3648965018,0.897,0.006055189,1.81574e-05,1945007495,2295423034,2690064863,9e-09,0,1
0.005543806,0.00552841,703052595.2,3592031437,0.899,0.005652633,1.75772e-05,1880962172,2296571027,2645366559,8.5e-09,0,1
0.005993304,0.005941454,703999590.4,3490479718,0.898,0.005966501,1.90597e-05,1421224203,1814931998,2262227318,8.9e-09,0,1
0.00606822,0.006009809,702733926.4,3391445811,0.899,0.005930541,1.96047e-05,1184031183,1493603699,1593981467,9e-09,0,1
0.005693639,0.005694208,698823065.6,3306679501,0.898,0.005853341,1.86319e-05,907284428,1107520708,1366909185,8.9e-09,0,1
0.00546889,0.005469437,699518156.8,3229466624,0.899,0.00553539,1.91634e-05,588738045,825135413,1022381114,8.4e-09,0,1
