total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.00059933,0.000540416,534519808,3124916224,0.099,0.001660133,5.326e-06,411732776,592795239,696329151,0,0,0
0.005319057,0.005371981,534551347.2,3170236826,0.869,0.005460485,1.90202e-05,401802202,583479629,687898129,5.4e-09,0,0
0.005693639,0.005619155,545146880,3466105651,0.755,0.005586154,1.64984e-05,1749231039,2605019776,2968649850,7.6e-09,0,1
0.003970564,0.003970946,574010163.2,3144924365,0.658,0.004021124,1.29836e-05,403564421,1013454820,1255179299,6.2e-09,0,1
0.005993304,0.005993902,574415257.6,3181012992,0.9,0.006002825,2.00266e-05,390898680,497493986,602897697,8.6e-09,0,0
0.004719727,0.004720202,574389862.4,3191923507,0.787,0.004713307,1.53358e-05,489167695,600038616,697164198,6.8e-09,0,0
0.003595982,0.003596306,574431232,3175977370,0.657,0.003725797,1.08556e-05,514647741,794362760,888502406,5e-09,0,0
0.003595982,0.003596371,574537728,3173459558,0.509,0.00356743,1.19626e-05,484854824,703553206,894302832,6.1e-09,0,0
0.003071568,0.003071849,574509875.2,3133174579,0.786,0.00311682,1.13418e-05,285331076,406097515,502370987,4.1e-09,0,0
0.006143137,0.006143705,574512742.4,3201155482,0.899,0.006220747,2.16272e-05,390835115,510559758,596104798,8.8e-09,0,0
0.006592634,0.006593246,574520115.2,3240601190,0.9,0.006636136,2.05556e-05,598174988,718736558,852167511,9.7e-09,0,0
0.006817383,0.006818017,575641190.4,3379920077,0.899,0.006897772,2.06312e-05,798803148,1081597803,1196955502,9.3e-09,0,1
0.005993304,0.006052853,582007603.2,3406776730,0.897,0.006234499,1.93107e-05,1171651375,1408318111,1607960845,9.5e-09,0,1
0.00606822,0.006068811,601862144,3515042611,0.899,0.006366638,1.86562e-05,1480590267,1784797583,1906122387,8.7e-09,0,1
0.00606822,0.006068768,617166028.8,3602326733,0.896,0.00609983,1.75719e-05,1704032453,2296811463,2565666389,8.9e-09,0,1
0.005543806,0.005531254,636341452.8,3637576090,0.898,0.005650508,1.6127e-05,2003070618,2299870978,2658219956,8.8e-09,0,1
0.005393974,0.005466601,644357734.4,3648486605,0.897,0.005897072,1.63536e-05,1997793298,2479363735,2793039687,8.3e-09,0,1
0.005169225,0.005222169,647258931.2,3646808064,0.899,0.005536555,1.6304e-05,2151732735,2580597680,3044902352,7.8e-09,0,1
0.005918388,0.005971368,658515558.4,3629183386,0.897,0.006109164,1.82242e-05,1904344945,2307997041,2563972008,8.7e-09,0,1
0.005618723,0.005743734,670713036.8,3623627162,0.898,0.005848264,1.68832e-05,1998145899,2400285524,2767341800,8.4e-09,0,1
0.005543806,0.005616412,675144089.6,3612261581,0.899,0.005653789,1.69777e-05,2111508148,2591957216,3205382348,8.5e-09,0,1
