total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.0,2.25e-08,523340595.2,1624707481.6,0.111,0.0004507434,2.8032e-06,683494131.0,717377528.0,718558551.0,6e-10,0.0
0.0,0.0,524828672.0,1622294528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.75e-08,530599526.4,1622032384.0,0.12,0.0003758802,2.3756e-06,221630031.0,245544057.0,245544057.0,5e-10,0.0
0.0,3e-08,497308467.2,1621770240.0,0.096,0.0003005922,1.9456e-06,445559552.0,467471485.0,467471485.0,4e-10,0.0
0.0,7.5e-08,513559756.8,1629349478.4,0.249,0.0007530626,4.6186e-06,817254879.0,987116041.0,996485165.0,1e-09,0.0
0.0,0.0,500047872.0,1622556672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.25e-08,502851174.4,1622556672.0,0.054,0.0001503996,1.018e-06,207542890.0,271532837.0,271532837.0,5e-10,0.0
0.0,0.0,500006912.0,1622556672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3e-08,511603507.2,1622556672.0,0.108,0.0003008306,1.8478e-06,491051349.0,541594740.0,541594740.0,4e-10,0.0
0.0,7.5e-08,519129907.2,1626123468.8,0.253,0.0007522436,3.7834e-06,546483526.0,945458357.0,964193524.0,1e-09,0.0
0.0,0.0,531881984.0,1624733286.4,0.065,0.0002252826,1.2828e-06,747960777.0,767919348.0,767919348.0,3e-10,0.0
0.0,0.0,532062208.0,1622556672.0,0.0,0.0,0.0,697428713.0,704305035.0,704305035.0,3e-10,0.0
0.0,3.75e-08,532875673.6,1622451814.4,0.125,0.0003758088,2.5087e-06,215712613.0,265174985.0,265174985.0,5e-10,0.0
0.0,3e-08,523830886.4,1622294528.0,0.097,0.0003007176,1.9984e-06,439764992.0,457985796.0,457985796.0,4e-10,0.0
