total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0,2.25e-08,593113088,1911971840,0.041,0.000376004,2.2316e-06,458134105,494559033,494559033,0,0,0
0,0,589246464,1911971840,0,0,0,0,0,0,0,0,0
0,6.75e-08,612370841.6,1917531750,0.218,0.000677446,3.96e-06,1023230700,1119106262,1119250545,9e-10,0,0
0,4.5e-08,617524428.8,1914017382,0.149,0.000451645,2.5812e-06,690737088,787565776,790408106,6e-10,0,0
0,2.25e-08,615440384,1912233984,0.078,0.000232836,1.3892e-06,242288072,272276108,272276108,4e-10,0,0
0,3e-08,610720972.8,1912129126,0.096,0.000301504,1.7974e-06,424229024,441104683,441104683,4e-10,0,0
0,7.5e-08,618874060.8,1918895718,0.248,0.000752278,4.393e-06,741275965,1001647068,1001902012,1e-09,0,0
0,0,619212800,1912496128,0,0,0,0,0,0,0,0,0
0,3e-08,611910451.2,1912024269,0.105,0.000300713,1.8424e-06,237845877,268904741,268904741,4e-10,0,0
0,0,606273536,1911709696,0,0,0,0,0,0,0,0,0
0,3e-08,606051532.8,1911709696,0.11,0.000300734,1.6323e-06,509056510,564615122,564615122,4e-10,0,0
0,0,599785472,1911709696,0,0,0,0,0,0,0,0,0
0,7.5e-08,605976985.6,1917453517,0.262,0.000752813,4.489e-06,643581332,702281893,711044854,1e-09,0,0
0,4.5e-08,600380211.2,1913126093,0.15,0.000451072,2.6394e-06,721850958,771731309,776292702,6e-10,0,0
0,1.5e-08,595589120,1911447552,0.052,0.000226443,1.3324e-06,225318874,258145418,258145418,3e-10,0,0
0,3e-08,588883558.4,1911447552,0.101,0.00030073,1.759e-06,419711502,480946960,481405414,6e-10,0,0
0,6e-08,599049011.2,1920102400,0.219,0.000677045,4.1158e-06,920370205,1088107953,1097053228,9e-10,0,0
0,0,583884800,1911709696,0.001,0,0,0,0,0,0,0,0
0,3.75e-08,595244236.8,1911578624,0.114,0.000375966,2.3624e-06,200453637,256773405,256773405,5e-10,0,0
0,0,602820608,1911447552,0,0,0,0,0,0,0,0,0
0,4.5e-08,603531264,1911447552,0.141,0.000451138,2.9496e-06,433066723,468767240,470819307,6e-10,0,0
0,0,615763968,2487246848,0.497,7.4e-09,0,0,0,0,0,0,1
0,3.75e-08,626363187.2,2498078310,0.899,0.0003762,2.3486e-06,2001342870,2057556575,2057556575,5e-10,0,1
0,2.25e-08,635256832,2491023360,0.901,0.000227145,1.2534e-06,2202644775,2368237727,2368237727,3e-10,0,1
0,0,632843468.8,2487508992,0.9,7.51602e-05,4.694e-07,0,0,0,0,0,1
0,2.25e-08,632781619.2,2487508992,0.901,0.000152006,9.634e-07,1501196417,1796055047,1796055047,3e-10,0,1
0,0,632354406.4,2492570829,0.9,0.000377241,2.1802e-06,0,0,0,0,0,1
0,2.25e-08,630960128,2493199974,0.898,1.056e-07,1.496e-07,2303787073,2441531907,2441531907,5e-10,0,1
0,7.5e-09,630179430.4,2488033280,0.902,7.52762e-05,5.344e-07,1476108074,1476108074,1476108074,1e-10,0,1
0,0,629268480,2488033280,0.898,0,0,0,0,0,0,0,1
0,1.5e-08,638151065.6,2487980851,0.897,0.000150495,1.061e-06,1444454054,1489391607,1489391607,2e-10,0,1
0,0,639709184,2487771136,0.901,4.2e-09,4.2e-09,0,0,0,0,0,1
0,3.75e-08,647742259.2,2500045210,0.901,0.000378449,2.7944e-06,2804279073,2910564836,2910564836,5e-10,0,1
0,2.25e-08,636315238.4,2491652506,0.901,0.000226476,1.4118e-06,1782103874,1887187498,1887187498,3e-10,0,1
0,0,630337536,2488295424,0.902,0,0,0,0,0,0,0,1
0,2.25e-08,633721241.6,2488295424,0.9,0.000152308,8.872e-07,1724926208,2020937818,2020937818,3e-10,0,1
0,0,638707712,2489973965,0.902,0.000225707,1.4052e-06,0,0,0,0,0,1
0,3.75e-08,654057472,2497107558,0.9,1.32e-07,1.87e-07,2070422479,2081868082,2081868082,5e-10,0,1
0,7.5e-09,648263680,2488557568,0.899,7.52568e-05,4.684e-07,1416103463,1416103463,1416103463,1e-10,0,1
0,0,647348224,2488557568,0.901,4.2e-09,4.2e-09,0,0,0,0,0,1
0,1.5e-08,643751116.8,2488478925,0.899,0.000151211,8.918e-07,2041053607,2369918753,2369918753,2e-10,0,1
0,0,613040128,2487771136,0.2,0,0,0,0,0,0,0,0
0,6.75e-08,594568806.4,1915355136,0.225,0.00067663,3.9762e-06,562634674,928818749,933739571,9e-10,0,0
0,4.5e-08,582597017.6,1912811110,0.149,0.000451092,2.4612e-06,667275545,705775175,707903926,6e-10,0,0
0,0,591310848,1911971840,0,0,0,0,0,0,0,0,0
0,6.75e-08,591994060.8,1911919411,0.232,0.00067716,3.7374e-06,244993179,538945037,556675649,9e-10,0,0
0,0,583058227.2,1913388237,0.04,0.00022552,1.263e-06,0,0,0,0,0,0
0,5.25e-08,575456460.8,1918239949,0.101,0.000150499,1.1016e-06,747537026,1013973642,1020787100,1e-09,0,0
0,3e-08,567386931.2,1911971840,0.106,0.00030076,1.783e-06,236479938,281678558,281678558,4e-10,0,0
0,0,566603776,1911447552,0,4.2e-09,4.2e-09,0,0,0,0,0,0
0,4.5e-08,578769715.2,1911395123,0.153,0.000451412,2.7054e-06,446851879,482397189,482983235,6e-10,0,0
0,0,569794560,1910923264,0.001,0,0,0,0,0,0,0,0
0,6.75e-08,588493209.6,1916483174,0.231,0.00067773,3.9564e-06,881742168,1083571659,1088771376,9e-10,0,0
0,4.5e-08,586297344,1915643904,0.147,0.000452246,2.8254e-06,649034618,731890929,734805536,6e-10,0,0
0,0,574328832,1911447552,0,0,0,0,0,0,0,0,0
0,6.75e-08,586926899.2,1911447552,0.234,0.000677384,3.9156e-06,254682990,528323852,544968636,9e-10,0,0
0,0,577712128,1911447552,0,0,0,0,0,0,0,0,0
0,6e-08,602309017.6,1918790861,0.138,0.000376026,2.3096e-06,1009408254,1107211195,1119669552,8e-10,0,0
0,3.75e-08,592662118.4,1911971840,0.123,0.000375973,2.3162e-06,222411787,253652548,253652548,5e-10,0,0
0,0,585629696,1911971840,0,0,0,0,0,0,0,0,0
0,3.75e-08,590982348.8,1911945626,0.158,0.00037605,2.2514e-06,444454341,912473096,912473096,5e-10,0,0
0,0,604426240,1911709696,0,4.2e-09,4.2e-09,0,0,0,0,0,0
0,7.5e-08,612405248,1918607360,0.267,0.000752407,4.534e-06,717313066,835130764,852438457,1e-09,0,0
0,4.5e-08,607526912,1913309594,0.15,0.00045156,2.8122e-06,711411950,746579900,749745080,6e-10,0,0
0,0,599105536,1911447552,0.001,4.2e-09,4.2e-09,0,0,0,0,0,0
0,6e-08,604042035.2,1911447552,0.205,0.000601539,3.731e-06,351891775,531328241,537153027,8e-10,0,0
0,0,602456064,1911447552,0.001,0,0,0,0,0,0,0,0
0,7.5e-08,625315840,1918790861,0.188,0.000526876,3.1858e-06,793894966,946475967,983001762,1e-09,0,0
0,3.75e-08,614249267.2,1911919411,0.123,0.000376052,2.3294e-06,207171766,276271617,276271617,5e-10,0,0
0,0,602386432,1911709696,0,0,0,0,0,0,0,0,0
0,3.75e-08,603677491.2,1911709696,0.124,0.00037586,2.3294e-06,454794793,465718066,465718066,5e-10,0,0
0,0,612044800,1911709696,0,4.2e-09,4.2e-09,0,0,0,0,0,0
8.524e-07,3.6e-08,1187662643,6889750528,0.185,0.000526155,3.0706e-06,546620042,829076134,829076134,4e-10,0,1
2.131e-06,6e-08,1344776192,8567477589.333333,0.117,0.000226654,9.168e-07,5057807880,6973055249,6974842500,6e-10,0,1
2.131e-06,1.5e-08,1065066086,6864834560,0,4.2e-09,4.2e-09,0,0,0,0,0,1
1.9179e-06,2.1e-08,1190856294,7709263189.333333,0.03,0.000225448,1.1948e-06,2207718962,2207718962,2207718962,1e-10,0,1
1.7048e-06,2.7e-08,943674982.4,6018168968.533334,0.044,4.62e-08,8.14e-08,2443293784,2443371199,2443371199,2e-10,0,1
1.9179e-06,4.35e-08,1084386099,6882328576,0.154,0.000376731,1.8642e-06,1595235825,1855654228,1855654228,4e-10,0,1
1.4917e-06,1.8e-08,1073626726,6865779098,0.035,7.51866e-05,4.474e-07,7027743428,7027743428,7027743428,1e-10,0,1
1.9179e-06,2.1e-08,1204512768,7709700096,0.07,2.64e-08,3.74e-08,7854365064,7854365064,7854365064,1e-10,0,1
1.7048e-06,1.2e-08,1071005696,6864126771,0,0,0,0,0,0,0,0,1
1.9179e-06,1.35e-08,953438208,6018736947,0.172,4.2e-09,4.2e-09,0,0,0,0,0,1
