total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0,0,570068992,1905180672,0,0,0,0,0,0,0,0,0
0,3e-08,571453440,1905154458,0.111,0.000376473,2.115e-06,451607445,527835575,527835575,5e-10,0,0
0,0,562548736,1904918528,0,0,0,0,0,0,0,0,0
0,7.5e-08,569089638.4,1909141094,0.279,0.000751415,4.2454e-06,751799784,872285314,874070568,1e-09,0,0
0,2.25e-08,596550860.8,2484074906,0.496,0.000225809,1.0048e-06,2100194931,2175545480,2175545480,3e-10,0,0
0,0,620412928,2480717824,0.9,0,0,0,0,0,0,0,1
0,7.5e-09,612823859.2,2480717824,0.9,7.53002e-05,5.716e-07,1718995669,1718995669,1718995669,1e-10,0,1
0,2.25e-08,592338534.4,2484074906,0.901,0.000227946,1.2966e-06,2515677151,2625564977,2625564977,3e-10,0,1
0,0,584860467.2,2483235635,0.896,0.000226787,9.852e-07,2242800524,2285075104,2285075104,2e-10,0,1
0,7.5e-09,578811084.8,2483235635,0.899,0.000234657,1.2718e-06,2101308572,2101308572,2101308572,1e-10,0,1
0,3.75e-08,590122598.4,2487746560,0.901,0.000150695,1.016e-06,2645329960,2785478096,2787385040,6e-10,0,1
0,0,582754304,2480979968,0.902,0.000187146,9.024e-07,0,0,0,0,0,1
0,3.75e-08,613314560,2493411328,0.901,6.18052e-05,6.106e-07,2386815806,2602447598,2602447598,5e-10,0,1
0,7.5e-09,596157235.2,2481504256,0.897,7.52502e-05,4.684e-07,1978898808,1978898808,1978898808,1e-10,0,1
0,0,572522496,2481504256,0.9,4.2e-09,4.2e-09,0,0,0,0,0,1
0,1.5e-08,574590566.4,2481504256,0.903,0.000151052,8.786e-07,1934168428,2003590027,2003590027,2e-10,0,1
0,0,575107072,2481504256,0.901,4.2e-09,4.2e-09,0,0,0,0,0,1
0,3.75e-08,585492889.6,2497686323,0.9,0.000379118,1.8836e-06,2907741455,2995328478,2995328478,5e-10,0,1
0,2.25e-08,580449484.8,2484861338,0.906,0.000225507,1.23e-06,2177179084,2199922944,2199922944,3e-10,0,1
0,0,571330560,2481504256,0.905,0,0,0,0,0,0,0,1
0,7.5e-09,571848704,2481504256,0.899,7.51974e-05,4.816e-07,1204078529,1204078529,1204078529,1e-10,0,1
0,2.25e-08,579956736,2485543322,0.898,0.000226359,1.2588e-06,2769849283,2875683797,2875683797,3e-10,0,1
0,2.25e-08,579099852.8,2484599194,0.901,0.000225539,1.1742e-06,2021204109,2067744207,2067744207,3e-10,0,1
0,7.5e-09,584225587.2,2487117005,0.898,0.000302889,1.8154e-06,1990868967,1990868967,1990868967,1e-10,0,1
0,5.25e-08,574319001.6,2484363264,0.409,0.000300579,1.84e-06,577659953,2201012342,2206237322,7e-10,0,0
0,2.25e-08,563005440,1912052122,0.18,0.000601075,3.0514e-06,1105458532,1261861920,1269294896,8e-10,0,0
0,0,569196544,1905704960,0.001,4.2e-09,4.2e-09,0,0,0,0,0,0
0,3e-08,570906214.4,1905469030,0.105,0.000300608,1.7434e-06,237261302,288575970,288575970,4e-10,0,0
0,0,568819712,1905180672,0,0,0,0,0,0,0,0,0
0,3e-08,566809804.8,1905180672,0.112,0.000300501,1.6852e-06,511859113,558456646,558456646,4e-10,0,0
0,0,557596672,1905180672,0.001,4.2e-09,4.2e-09,0,0,0,0,0,0
0,6e-08,566996582.4,1911212851,0.204,0.000600744,3.0998e-06,725025924,987575558,990965789,8e-10,0,0
0,3.75e-08,564399308.8,1907567411,0.137,0.000377016,2.0336e-06,618177951,907818021,907818021,5e-10,0,0
0,0,558878720,1904918528,0,0,0,246501348,262891223,262891223,2e-10,0,0
0,7.5e-09,569108480,1904918528,0.031,7.51668e-05,4.452e-07,281168139,296946364,296946364,2e-10,0,0
0,2.25e-08,560886988.8,1906597069,0.07,6.79876e-05,4.83e-07,664200199,724822750,729383481,6e-10,0,0
0,6e-08,554121216,1904918528,0.202,0.000601874,3.7058e-06,382545138,500580682,502145087,8e-10,0,0
0,7.5e-08,550902169.6,1908380467,0.252,0.000752175,4.3102e-06,527558537,908871832,933786879,1e-09,0,0
0,3e-08,553624780.8,1906019942,0.104,0.000300646,1.8106e-06,489079027,510245174,510245174,4e-10,0,0
0,6e-08,563036979.2,1910530867,0.207,0.000601092,3.3122e-06,1023115297,1100926534,1105596160,8e-10,0,0
0,0,570449920,1905704960,0.001,0,0,0,0,0,0,0,0
0,3.75e-08,572511027.2,1905521459,0.121,0.000375886,2.4733e-06,225223679,273840696,273840696,5e-10,0,0
0,0,571121664,1905442816,0,0,0,0,0,0,0,0,0
0,3.75e-08,566146252.8,1905442816,0.122,0.000375656,2.0324e-06,439280117,542613809,542613809,5e-10,0,0
0,0,559564390.4,1905442816,0.01,0.000150248,8.266e-07,434561161,440833565,440833565,2e-10,0,0
0,3.75e-08,572225536,1913468109,0.107,1.362e-07,1.978e-07,1064691811,1085048403,1085241307,7e-10,0,0
0,4.5e-08,572816588.8,1909062042,0.155,0.000450855,2.5836e-06,711725668,818775497,820082478,6e-10,0,0
0,3e-08,567591731.2,1905652531,0.116,0.000300548,1.8754e-06,276475844,294740636,294740636,4e-10,0,0
0,4.5e-08,562632704,1907960627,0.144,0.000451618,2.3634e-06,640585343,796292861,802116820,6e-10,0,0
0,0,553082880,1905442816,0,0,0,0,0,0,0,0,0
0,6.75e-08,553610854.4,1907121357,0.224,0.000678003,4.116e-06,433224295,504037659,504266027,9e-10,0,0
