total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0,0,544010240,1623867392,0,0,0,0,0,0,0,0,0
0,0,544010240,1623867392,0,0,0,0,0,0,0,0,0
0,0,544010240,1623867392,0,0,0,0,0,0,0,0,0
0,3e-08,536263065.6,1623867392,0.101,0.000300593,1.8147e-06,469016184,475880147,475880147,4e-10,0,0
0,7.5e-08,542597939.2,1632627098,0.246,0.000754588,4.4758e-06,767750959,1009268993,1033298833,1e-09,0,0
0,0,530501632,1624391680,0,0,0,0,0,0,0,0,0
0,3.75e-08,513939865.6,1623998464,0.124,0.000375946,2.468e-06,220588979,275322366,275322366,5e-10,0,0
0,0,502145024,1623867392,0,0,0,0,0,0,0,0,0
0,1.125e-07,574334566.4,1796267622,0.373,0.001127,5.7076e-06,2079602469,2208521696,2211656852,1.5e-09,0,1
0,0,575594496,1893089280,0,0,0,0,0,0,0,0,0
0,6.75e-08,612292608,1901062554,0.203,0.000526341,2.7812e-06,1087589673,1137077328,1150244135,9e-10,0,0
0,4.5e-08,604754739.2,1895659930,0.153,0.000450846,2.8527e-06,693718698,782531122,782574053,6e-10,0,0
0,0,591216640,1892302848,0,0,0,0,0,0,0,0,0
0,3.75e-08,591226470.4,1892302848,0.122,0.000375924,2.2214e-06,217711186,229094730,229094730,5e-10,0,0
0,0,580837376,1892302848,0,0,0,0,0,0,0,0,0
0,2.625e-07,590480588.8,1892302848,0.897,0.002631102,1.65104e-05,252616197,275077073,315785892,3.6e-09,0,0
0,2.7e-07,612736614.4,1898964582,0.894,0.002706314,1.66443e-05,467264192,504204576,529096814,4e-09,0,0
0,2.7e-07,619387289.6,1917218816,0.897,0.002707617,1.59564e-05,701080470,789913826,912759171,4e-09,0,0
0,2.775e-07,613976883.2,1933715456,0.897,0.002786692,1.7057e-05,913118406,1037604027,1103373210,3.9e-09,0,0
0,2.55e-07,648975974.4,1951785370,0.898,0.002562766,1.56213e-05,1210809995,1379761284,1455964876,4e-09,0,1
0,2.7e-07,657253990.4,1967101542,0.898,0.002712168,1.53761e-05,1408957356,1584503976,1683848553,3.9e-09,0,1
0,2.625e-07,669202432,1986902426,0.898,0.002634989,1.53463e-05,1691799359,1818932745,1957752001,3.7e-09,0,1
0,2.625e-07,661745254.4,1983519130,0.897,0.002505919,1.32848e-05,1759016192,2011186026,2300790313,3.9e-09,0,1
0,2.4e-07,656876339.2,1985197670,0.899,0.002411987,1.35762e-05,1816244374,2317559649,2498578064,3.5e-09,0,1
0,2.7e-07,677676236.8,1986876211,0.899,0.002715483,1.59309e-05,1688043024,1856238458,1955120667,3.9e-09,0,1
0,2.7e-07,698559283.2,1985197670,0.898,0.002851736,1.68036e-05,1703299864,1938865985,2022245107,4e-09,0,1
0,2.625e-07,705369702.4,1986036941,0.898,0.002590382,1.47824e-05,1801283345,2245786095,2385503951,3.6e-09,0,1
0,2.625e-07,674320793.6,1987715482,0.899,0.002635667,1.47042e-05,1768738622,2211978244,2408920960,3.5e-09,0,1
0,2.7e-07,677350604.8,1976247091,0.898,0.002633846,1.48976e-05,1480709931,1653558789,1999278589,4.2e-09,0,1
0,2.55e-07,673147289.6,1955020800,0.899,0.002486026,1.45338e-05,1321723915,1556040390,1782253559,3.7e-09,0,1
0,2.7e-07,659138969.6,1944110285,0.897,0.002636298,1.55074e-05,957796449,1168421802,1315877321,3.9e-09,0,0
0,2.475e-07,646812876.8,1922604237,0.898,0.002408529,1.33342e-05,794209278,1178795348,1377247404,3.8e-09,0,0
