total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0,3e-08,531986204.4444444,1623863296,0.108,0.00030122,1.606e-06,489620746,544427516,544427516,4e-10,0,0
0,6e-08,538194739.2,1630760960,0.218,0.000600669,3.0908e-06,1023936178,1365799660,1373021669,8e-10,0,0
0,0,542986240,1624125440,0,0,0,0,0,0,0,0,0
0,2.25e-08,541087744,1624125440,0.108,0.000225481,1.329e-06,349680245,386756236,386756236,3e-10,0,0
0,0,538271744,1624125440,0,0,0,0,0,0,0,0,0
0,3e-08,571402240,1730518630,0.334,0.000979254,4.5124e-06,2219062477,2352014510,2355031806,1.3e-09,0,1
0,0,543432704,1893347328,0,4.2e-09,4.2e-09,0,0,0,0,0,0
0,6e-08,542940364.8,1896573338,0.216,0.000602645,3.0716e-06,742862408,1019875126,1024171562,8e-10,0,0
0,4.5e-08,537733939.2,1896363622,0.2,0.000450727,2.5746e-06,937747422,1020331502,1023333732,6e-10,0,0
0,0,527982592,1892823040,0,0,0,0,0,0,0,0,0
0,3.75e-08,516251238.4,1892823040,0.128,0.000375557,2.1644e-06,256008339,273556440,273556440,5e-10,0,0
0,4.5e-08,532522188.8,1896022835,0.173,0.000451495,2.3424e-06,789555663,930121030,945403402,6e-10,0,0
0,3e-08,533309849.6,1893400166,0.124,0.000376091,2.1228e-06,463954447,539770260,554249898,7e-10,0,0
0,0,517570560,1892560896,0,0,0,221056890,221056890,221056890,1e-10,0,0
0,7.5e-08,540973875.2,1897596518,0.242,0.000676247,3.6661e-06,722373462,788747639,788872438,1e-09,0,0
0,6e-08,538437632,1892482253,0.22,0.000602879,3.4425e-06,255782338,286448330,298046695,1e-09,0,0
0,2.325e-07,547998515.2,1892036608,0.889,0.002405092,1.29165e-05,272959819,565413687,617538456,3.6e-09,0,1
0,2.4e-07,549643878.4,1902947123,0.897,0.002480662,1.36726e-05,524362345,805443370,872685946,3.5e-09,0,1
0,2.25e-07,561904844.8,1921542144,0.897,0.002396193,1.19371e-05,837014506,1093195432,1125347417,3.5e-09,0,1
0,2.4e-07,576920780.8,1939953254,0.897,0.002466002,1.41945e-05,1104870891,1341941885,1403949318,3.4e-09,0,1
0,2.325e-07,609134182.4,1956292198,0.898,0.002406637,1.34645e-05,1402363376,1805086071,1932062947,3.5e-09,0,1
0,2.475e-07,625126195.2,1972526285,0.898,0.00248248,1.26747e-05,1680438845,1888061216,2009120511,3.5e-09,0,1
0,2.325e-07,642168012.8,1988498227,0.898,0.002338966,1.253e-05,1899681921,2125448791,2201004356,3.5e-09,0,1
0,2.25e-07,633013043.2,1988550656,0.897,0.002258064,1.25967e-05,2009175110,2243295381,2355717815,3.3e-09,0,1
0,2.4e-07,621831782.4,1987711386,0.898,0.002408022,1.29481e-05,1874299402,2183435023,2289521542,3.5e-09,0,1
0,2.475e-07,611213721.6,1987737600,0.899,0.002348691,1.23754e-05,1923141067,2102329697,2216252897,3.4e-09,0,1
0,2.475e-07,604622438.4,1988550656,0.899,0.002441866,1.29785e-05,1910749839,2171891822,2320566841,3.6e-09,0,1
0,2.4e-07,642013593.6,1988550656,0.899,0.002409633,1.32103e-05,1944501879,2101007524,2325461285,3.5e-09,0,1
0,2.4e-07,655557427.2,2001801216,0.902,0.002265741,1.22297e-05,1881399140,2011891619,2276429407,3.6e-09,0,1
0,2.325e-07,634895155.2,1983337267,0.897,0.002319628,1.3244e-05,1602934853,1797593227,1904652983,3.5e-09,0,1
0,2.4e-07,623800320,1970748211,0.897,0.002333279,1.32413e-05,1310868668,1497176310,1500412252,3.6e-09,0,1
0,2.475e-07,619932876.8,1954802074,0.898,0.002406394,1.27982e-05,1017578138,1178598251,1463947066,3.6e-09,0,1
0,2.475e-07,608208486.4,1932456755,0.895,0.002407478,1.31866e-05,732613683,894650786,987806938,3.6e-09,0,1
0,2.475e-07,575692390.4,1920026214,0.894,0.002330462,1.40876e-05,515735154,594538750,672409547,3.5e-09,0,1
