total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.0016584634,0.0016684808,484716544.0,1771563008.0,0.1,0.0088797788,4.84209e-05,310034215.0,751402546.0,856595381.0,0.0,0.0
0.0153030941,0.0153570373,504904499.2,1765688115.2,0.9,0.0157871205,8.3211e-05,262972877.0,405986243.0,578005286.0,1.89e-08,0.0
0.0148507859,0.0148522955,501470003.2,1779116441.6,0.899,0.0151415362,8.05226e-05,309652537.0,488652977.0,743413579.0,2.27e-08,0.0
0.0150015553,0.0150030501,498810880.0,1779116441.6,0.9,0.01527107,8.03461e-05,308299669.0,513812136.0,786401946.0,2.22e-08,0.0
0.0148507859,0.0148522511,492295372.8,1771563008.0,0.888,0.0151096343,8.0131e-05,292583873.0,763108428.0,851722577.0,2.16e-08,0.0
0.0157554023,0.0157569193,503351296.0,1773241548.8,0.9,0.016016342,8.42385e-05,301407638.0,482016753.0,643863840.0,2.28e-08,0.0
0.0153784788,0.0153079448,502266675.2,1785830604.8,0.899,0.0155211996,8.26859e-05,301707320.0,536404843.0,812918129.0,2.31e-08,0.0
0.0156800176,0.0157404781,508902195.2,1782473523.2,0.89,0.0160140197,8.99643e-05,306403333.0,558078046.0,779494121.0,2.3e-08,0.0
0.0151523247,0.0154126724,506023936.0,1765688115.2,0.9,0.0158477402,8.48187e-05,285129702.0,410968109.0,495502522.0,2.23e-08,0.0
0.0149261706,0.0149276729,498375884.8,1790026956.8,0.889,0.0153756372,8.54405e-05,307579877.0,757167120.0,828067867.0,2.22e-08,0.0
0.0147000165,0.0147015779,497844224.0,1785830604.8,0.897,0.0152218634,7.99654e-05,317693292.0,733303777.0,845377528.0,2.21e-08,0.0
0.0147754012,0.0147702907,496226304.0,1795062579.2,0.893,0.0149918354,8.0877e-05,319815709.0,727741122.0,877704258.0,2.18e-08,0.0
0.0156046329,0.0156585391,495421440.0,1781634252.8,0.899,0.0157940316,8.43358e-05,330257582.0,779986593.0,863668669.0,2.2e-08,0.0
0.0150015553,0.0149276654,504198348.8,1792544768.0,0.898,0.0152514406,7.72997e-05,309394324.0,663850472.0,870136889.0,2.16e-08,0.0
0.0149261706,0.0146787037,509141811.2,1776598630.4,0.9,0.0148326704,7.81326e-05,265076224.0,490877567.0,714466091.0,2.24e-08,0.0
0.0154538635,0.0154554101,505147801.6,1792544768.0,0.9,0.0155778646,8.37133e-05,329006720.0,753082328.0,894010699.0,2.22e-08,0.0
0.0156800176,0.015065631,512964198.4,1791705497.6,0.9,0.0151004642,7.99585e-05,347021656.0,634987096.0,841933176.0,2.18e-08,0.0
0.0153784788,0.0154455226,500486144.0,1784991334.4,0.899,0.0156013614,8.15257e-05,316071099.0,662682565.0,853545240.0,2.19e-08,0.0
0.0153030941,0.0154356417,497975705.6,1784152064.0,0.897,0.0156833368,8.33409e-05,322085376.0,699895799.0,841726357.0,2.31e-08,0.0
0.0149261706,0.0151143612,499330662.4,1798419660.8,0.9,0.0154222978,8.48516e-05,367565685.0,700095245.0,837199268.0,2.17e-08,0.0
0.0151523247,0.0151538047,498246860.8,1777437900.8,0.888,0.0154689177,8.29908e-05,322630011.0,763000859.0,884518244.0,2.25e-08,0.0
0.015830787,0.015832341,513424179.2,1776598630.4,0.898,0.0162609401,8.51876e-05,273687644.0,427278148.0,571379718.0,2.31e-08,0.0
0.0154538635,0.015383315,497072947.2,1783312793.6,0.899,0.0154950966,8.33274e-05,307683033.0,814475342.0,868031080.0,2.3e-08,0.0
0.0150015553,0.0150031537,502147891.2,1792544768.0,0.9,0.0160083517,8.47894e-05,365283639.0,690225042.0,816473446.0,2.22e-08,0.0
0.0152277094,0.0152816231,496154624.0,1805133824.0,0.896,0.0157605513,8.62431e-05,384139910.0,806664900.0,869089375.0,2.28e-08,0.0
0.0151523247,0.0150227961,491776000.0,1795901849.6,0.899,0.0153353525,8.23997e-05,381719658.0,734883618.0,858388599.0,2.22e-08,0.0
