total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.0046738514,0.0048446828,462424064.0,1777292288.0,0.299,0.0100509215,4.5419e-05,270688479.0,507571585.0,694798427.0,0.0,0.0
0.0136446307,0.0136984633,462085734.4,1777711923.2,0.898,0.0140928288,6.21945e-05,319103496.0,557042591.0,746335292.0,2.1e-08,0.0
0.0145492471,0.01448516,466982092.8,1760087244.8,0.899,0.0146813792,6.78831e-05,281810779.0,406629115.0,513312518.0,2.14e-08,0.0
0.0150015553,0.0149539581,469145600.0,1772676300.8,0.916,0.0151987307,6.38541e-05,326992234.0,541208087.0,628017421.0,2.18e-08,0.0
0.0152277094,0.0152291968,457510912.0,1776872652.8,0.895,0.0153001709,6.93884e-05,293652201.0,674608212.0,790988106.0,2.1e-08,0.0
0.0144738624,0.0145342273,445881548.8,1777711923.2,0.9,0.0146809119,6.83625e-05,338703446.0,606710326.0,746725367.0,2.15e-08,0.0
0.0139461695,0.0137869892,446735564.8,1786104627.2,0.829,0.0141784702,6.65602e-05,300617436.0,572433018.0,734578134.0,1.94e-08,0.0
0.0140215542,0.014022975,457976217.6,1773515571.2,0.885,0.0143312532,6.25144e-05,337101647.0,584459068.0,713069562.0,2.16e-08,0.0
0.0129661684,0.0128265591,458340352.0,1788622438.4,0.803,0.013119091,6.55402e-05,345376136.0,544906482.0,703121832.0,1.93e-08,0.0
0.0137954001,0.0137115668,465131110.4,1779390464.0,0.86,0.0140393041,6.33262e-05,298015516.0,553129831.0,721952276.0,2.07e-08,0.0
0.0144738624,0.0143376733,462582579.2,1771837030.4,0.886,0.0144251574,6.67739e-05,298859769.0,469752902.0,632819181.0,2.1e-08,0.0
0.013569246,0.0135509764,464016588.8,1791140249.6,0.861,0.0138526837,6.61229e-05,319780745.0,711229868.0,814251934.0,1.98e-08,0.0
0.014323093,0.0143245064,468669235.2,1786104627.2,0.877,0.0144846269,6.83137e-05,362474350.0,709070447.0,759732505.0,2.1e-08,0.0
0.0148507859,0.0146522931,474185728.0,1772676300.8,0.889,0.0132508367,5.77069e-05,310118573.0,478779325.0,603657573.0,2.08e-08,0.0
0.0125892449,0.0125250428,467603911.1111111,1785451861.3333333,0.803,0.0149055391,6.94471e-05,354353125.0,658309745.0,725385512.0,2.22e-08,0.0
0.0149261706,0.0149276432,471090380.8,1766801408.0,0.903,0.015044661,6.85601e-05,274310423.0,420209955.0,529273814.0,2.2e-08,0.0
0.0147754012,0.0147113363,467404800.0,1786104627.2,0.897,0.0150031343,7.01722e-05,352706485.0,696367017.0,779408556.0,2.11e-08,0.0
0.0148507859,0.0148522807,479737446.4,1770158489.6,0.9,0.015293346,7.02834e-05,291138233.0,438280534.0,529744900.0,2.24e-08,0.0
0.0143984777,0.0145243682,483731865.6,1771837030.4,0.895,0.0150338918,7.0034e-05,286778074.0,485404816.0,629614469.0,2.13e-08,0.0
0.0144738624,0.0145276508,481926758.4,1777711923.2,0.896,0.0147993255,6.72449e-05,299369242.0,527525050.0,686035006.0,2.17e-08,0.0
0.0137954001,0.0137967987,471110041.6,1787783168.0,0.885,0.0138658709,6.92293e-05,325617521.0,712670273.0,802863033.0,1.81e-08,0.0
0.0145492471,0.0146785454,474438041.6,1789461708.8,0.901,0.0149946193,6.94693e-05,311479803.0,662086213.0,776667465.0,2.14e-08,0.0
0.0133430919,0.0133445053,481406976.0,1796175872.0,0.854,0.0137307434,6.66922e-05,342113761.0,720567191.0,749137913.0,2.09e-08,0.0
0.0147000165,0.0147768516,492521062.4,1776872652.8,0.89,0.0149877932,6.69373e-05,290388581.0,485615327.0,699313358.0,2.16e-08,0.0
0.0145492471,0.0144162509,469663334.4,1798693683.2,0.877,0.0144726981,6.93035e-05,398382957.0,714781813.0,801519774.0,1.97e-08,0.0
0.0133430919,0.0135214015,476447539.2,1789461708.8,0.835,0.0138709,6.97215e-05,370671930.0,677606265.0,767997045.0,2.08e-08,0.0
0.0147754012,0.0147047713,485410406.4,1777711923.2,0.901,0.0148810824,7.502e-05,319938948.0,495257880.0,706671810.0,2.15e-08,0.0
0.0143984777,0.0143768882,482865152.0,1788622438.4,0.891,0.0146990025,7.10233e-05,403995528.0,708763974.0,813893354.0,2.12e-08,0.0
0.0143984777,0.0143999497,498570035.2,1776872652.8,0.896,0.0146401488,6.81333e-05,297092823.0,609385592.0,774547771.0,2.14e-08,0.0
0.0143984777,0.0145833268,503395942.4,1768479948.8,0.89,0.0149833481,7.14373e-05,283208666.0,464978924.0,591054410.0,2.16e-08,0.0
0.0144738624,0.014403211,498355404.8,1779390464.0,0.9,0.0145383509,7.05007e-05,305922485.0,506319354.0,645831528.0,2.14e-08,0.0
0.0138707848,0.0138622992,475528396.8,1806247116.8,0.823,0.0139701903,7.89396e-05,511199232.0,692310196.0,752472924.0,1.94e-08,0.0
0.014323093,0.0143244768,470478438.4,1788622438.4,0.863,0.0147197336,7.84715e-05,366879323.0,704163010.0,749078143.0,2.19e-08,0.0
0.0142477083,0.01419006,479711641.6,1781069004.8,0.88,0.0142803624,7.46052e-05,301437755.0,703413980.0,775546443.0,2.04e-08,0.0
0.0145492471,0.0145376335,478907187.2,1771837030.4,0.901,0.0148323062,7.53807e-05,291641662.0,482667045.0,710859162.0,2.24e-08,0.0
0.0141723236,0.0142261713,473676595.2,1795336601.6,0.87,0.0145039897,7.45798e-05,333507411.0,703033176.0,790453308.0,2.06e-08,0.0
0.0147000165,0.0148030151,484646912.0,1780334592.0,0.896,0.015170487,8.05171e-05,349723395.0,596458058.0,736180406.0,2.27e-08,0.0
0.0150015553,0.0148981815,485440716.8,1782170419.2,0.884,0.0149329621,7.80144e-05,295058977.0,520081713.0,695841327.0,2.16e-08,0.0
0.0140215542,0.0141539876,480510361.6,1787206041.6,0.836,0.0145101206,7.78833e-05,343058177.0,581985647.0,734980914.0,2.05e-08,0.0
0.0149261706,0.0145083504,481494220.8,1774616985.6,0.876,0.0146744465,7.61458e-05,285961747.0,505469940.0,712852668.0,2.22e-08,0.0
0.01507694,0.0151374081,479059148.8,1781331148.8,0.897,0.0154590162,8.04513e-05,310903028.0,659546134.0,750053267.0,2.25e-08,0.0
0.0138707848,0.0138065497,478047436.8,1801473638.4,0.826,0.0138144343,7.46637e-05,436912225.0,712896749.0,902699675.0,1.88e-08,0.0
0.0148507859,0.014776859,478577049.6,1790563123.2,0.877,0.0150760993,8.24889e-05,341277158.0,673578599.0,763751191.0,2.25e-08,0.0
0.0141723236,0.0141737074,476080537.6,1786366771.2,0.846,0.014403728,7.98834e-05,318493379.0,698971198.0,861657036.0,2.08e-08,0.0
0.01507694,0.0150029983,485419827.2,1776295526.4,0.868,0.0151963777,8.05297e-05,275653523.0,590635587.0,707070770.0,2.24e-08,0.0
0.0151523247,0.0150948687,488717516.8,1767063552.0,0.9,0.0153861145,7.90614e-05,277680678.0,500743144.0,608744972.0,2.2e-08,0.0
0.0145492471,0.0144065489,483881369.6,1798955827.2,0.845,0.014549144,7.98369e-05,383960762.0,696004771.0,736478969.0,2.19e-08,0.0
0.0159061717,0.0158421438,484623564.8,1778813337.6,0.894,0.0159158597,8.47862e-05,320363192.0,671636794.0,776068964.0,2.3e-08,0.0
0.0153030941,0.01528817,486538444.8,1772938444.8,0.891,0.0154579427,8.30978e-05,272433412.0,421637475.0,619640192.0,2.25e-08,0.0
0.0148507859,0.0150356561,493556940.8,1783848960.0,0.859,0.015175249,8.36526e-05,332078049.0,567744409.0,716520533.0,2.2e-08,0.0
0.0153030941,0.0153045963,502619750.4,1783009689.6,0.899,0.0156408993,8.21459e-05,315063874.0,533881029.0,637760535.0,2.23e-08,0.0
0.0149261706,0.0147899881,486967705.6,1772170035.2,0.886,0.0148935846,8.09402e-05,266622522.0,654181655.0,735817332.0,2.16e-08,0.0
0.0153030941,0.0151505328,484523212.8,1770323968.0,0.894,0.0153167434,8.24948e-05,325005415.0,556557509.0,680866465.0,2.24e-08,0.0
0.0149261706,0.0149275686,498363596.8,1782219571.2,0.885,0.0150412998,7.98975e-05,348337091.0,639251492.0,768929050.0,2.2e-08,0.0
0.0150015553,0.0150030131,506741964.8,1766273433.6,0.899,0.0151304874,7.76315e-05,297111054.0,463133913.0,571548946.0,2.18e-08,0.0
0.0143984777,0.0143998837,507346534.4,1780541030.4,0.9,0.0145806837,7.36698e-05,360527483.0,564953698.0,683029742.0,2.12e-08,0.0
0.0146246318,0.0144491727,507713536.0,1796487168.0,0.899,0.0149258671,7.76844e-05,358330781.0,674579740.0,743695422.0,2.24e-08,0.0
0.0152277094,0.0152980346,503246438.4,1767112704.0,0.893,0.0155409458,8.09232e-05,293776842.0,570843032.0,704162303.0,2.21e-08,0.0
0.0150015553,0.0149375422,502268723.2,1787255193.6,0.894,0.0153113986,7.81155e-05,307966704.0,607577781.0,720031952.0,2.19e-08,0.0
0.0152277094,0.0150391441,495314534.4,1776344678.4,0.9,0.0152502898,7.91079e-05,301449187.0,469357574.0,673016919.0,2.21e-08,0.0
0.0149261706,0.014927658,493432422.4,1760398540.8,0.898,0.0151602358,7.74841e-05,258068979.0,501169461.0,743862272.0,2.24e-08,0.0
0.0150015553,0.0150030649,501900083.2,1782219571.2,0.887,0.0153960717,7.93652e-05,273262147.0,520538825.0,717047097.0,2.21e-08,0.0
0.0153030941,0.0152455802,503262003.2,1778023219.2,0.899,0.0152465736,7.41407e-05,317391508.0,491294845.0,634009914.0,2.16e-08,0.0
0.0159061717,0.0159076961,508982476.8,1773826867.2,0.892,0.0160692078,8.38724e-05,324903498.0,620900490.0,702350982.0,2.3e-08,0.0
0.0153030941,0.0153046481,513559756.8,1767112704.0,0.9,0.0155382538,7.71715e-05,273320894.0,415720139.0,655848700.0,2.32e-08,0.0
0.0152277094,0.0152292191,514384691.2,1775505408.0,0.9,0.0155202347,7.88638e-05,308103880.0,504072086.0,733747480.0,2.22e-08,0.0
0.0143984777,0.0143999503,511105843.2,1782219571.2,0.884,0.0148251545,7.71587e-05,327105345.0,635070596.0,725206634.0,2.19e-08,0.0
0.0156046329,0.0155504998,516006707.2,1766273433.6,0.9,0.015815787,8.01436e-05,275295860.0,452936172.0,569646657.0,2.36e-08,0.0
0.0154538635,0.0154553435,509449011.2,1775505408.0,0.899,0.0155612806,7.84172e-05,327218649.0,512362209.0,694888926.0,2.23e-08,0.0
0.0149261706,0.015071859,504161484.8,1786415923.2,0.9,0.0155863462,8.3736e-05,364364560.0,581770833.0,717776594.0,2.28e-08,0.0
0.0153784788,0.0154455111,496841523.2,1783058841.6,0.901,0.0156947176,8.47652e-05,332772003.0,632006094.0,735685133.0,2.22e-08,0.0
0.0147754012,0.0148490209,494132019.2,1777183948.8,0.889,0.0153744858,8.22311e-05,312315661.0,590374653.0,669338741.0,2.29e-08,0.0
0.0153030941,0.0155535848,494492876.8,1790612275.2,0.893,0.0159470051,8.69973e-05,309692934.0,624817313.0,742579127.0,2.28e-08,0.0
0.0155292482,0.015412782,497011507.2,1782219571.2,0.896,0.0155483639,8.47513e-05,291643085.0,632203720.0,756881642.0,2.22e-08,0.0
0.0154538635,0.0153308631,496117760.0,1783058841.6,0.9,0.0154756321,8.14549e-05,369271470.0,686842523.0,752685918.0,2.21e-08,0.0
0.0152277094,0.0152291894,498729369.6,1789773004.8,0.897,0.0154502173,8.4524e-05,378169731.0,662309706.0,728344311.0,2.2e-08,0.0
0.0154538635,0.015514435,509048832.0,1777183948.8,0.897,0.0158733097,8.44585e-05,281585925.0,569760688.0,708476483.0,2.35e-08,0.0
0.0152277094,0.0152292338,500432896.0,1774666137.6,0.9,0.0155277333,7.75669e-05,309688681.0,559202284.0,696954884.0,2.26e-08,0.0
0.0155292482,0.0154553509,500201472.0,1801522790.4,0.872,0.0156560503,8.24034e-05,317662965.0,591403706.0,778864347.0,2.27e-08,0.0
0.0161323258,0.0160584507,495709388.8,1785576652.8,0.901,0.0161467138,8.5042e-05,337370326.0,690688291.0,751461752.0,2.22e-08,0.0
0.0147000165,0.0146359294,509988864.0,1763755622.4,0.901,0.0147899775,7.49482e-05,297738029.0,477512974.0,635879423.0,2.13e-08,0.0
0.0141723236,0.0141737148,511872204.8,1767951974.4,0.902,0.01432818,7.30118e-05,320481094.0,434220421.0,560790339.0,2.1e-08,0.0
0.0147000165,0.0147014965,510787174.4,1768791244.8,0.896,0.0150411195,8.15854e-05,312127103.0,568205292.0,702105197.0,2.24e-08,0.0
0.0154538635,0.0154553435,504685363.2,1777183948.8,0.899,0.0156178616,8.39028e-05,277640725.0,648314019.0,723454115.0,2.23e-08,0.0
0.0153030941,0.0150031908,511710003.2,1783058841.6,0.896,0.0150372255,7.69404e-05,316853861.0,597075205.0,709563437.0,2.22e-08,0.0
0.0147754012,0.0147768368,492971622.4,1789773004.8,0.885,0.0150702665,7.79415e-05,304210054.0,644185518.0,728927414.0,2.15e-08,0.0
0.0154538635,0.0154488672,506206617.6,1793969356.8,0.9,0.0157857072,8.69244e-05,323704037.0,608437762.0,756548294.0,2.28e-08,0.0
0.0151523247,0.0151931878,502498918.4,1783058841.6,0.898,0.0155237671,8.25935e-05,285606781.0,646450226.0,793019738.0,2.26e-08,0.0
0.0153030941,0.0155306031,512173260.8,1788933734.4,0.886,0.0156947822,8.43235e-05,306340072.0,630983657.0,743443350.0,2.24e-08,0.0
