total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.003769235,0.00376959,756056064,1836527616,0.2,0.008728179,4.71164e-05,292518002,567752781,812315304,0,0,0
0.014021554,0.014023019,739314483.2,1879889920,0.838,0.014363599,7.64568e-05,436202687,755817863,840954194,1.98e-08,0,0
0.015453864,0.015455344,756055654.4,1865622323,0.888,0.015602429,8.26096e-05,338694127,730385874,840484208,2.22e-08,0,0
0.014926171,0.014980092,751925657.6,1877372109,0.891,0.015543358,8.67238e-05,414295311,747832732,842467977,2.17e-08,0,0
0.015680018,0.015609388,735189401.6,1854711808,0.899,0.015707078,8.2695e-05,314359609,757306830,855630102,2.37e-08,0,0
0.015906172,0.015779826,748714803.2,1845479834,0.884,0.015899745,8.37438e-05,321823590,596126685,774094888,2.31e-08,0,0
0.015001555,0.014773748,758378086.4,1863943782,0.864,0.014799701,8.09604e-05,393432114,767753881,820173661,2.16e-08,0,0
0.015755402,0.015897834,748146278.4,1852193997,0.89,0.015986538,8.40614e-05,315939296,626937919,800896026,2.3e-08,0,0
0.015529248,0.015530773,737550336,1861425971,0.888,0.01575972,8.53912e-05,348609034,724702800,944210736,2.28e-08,0,0
0.014926171,0.014980018,752802611.2,1862265242,0.853,0.015166836,8.18307e-05,343450637,702590019,797971945,2.18e-08,0,0
0.015152325,0.014629622,745912729.6,1873175757,0.857,0.014618921,7.81733e-05,386107408,722194746,826128108,2.2e-08,0,0
0.015152325,0.015153894,750524825.6,1850515456,0.887,0.015521041,8.50613e-05,297925937,732507700,807866289,2.22e-08,0,0
0.015680018,0.015681535,748414976,1873175757,0.888,0.01591144,8.43783e-05,338630086,753414712,833307722,2.36e-08,0,0
0.01507694,0.015091642,749780992,1866461594,0.888,0.015570869,8.14244e-05,376749304,789524904,851550818,2.27e-08,0,0
0.015906172,0.01590763,736849920,1852193997,0.887,0.015898351,8.60919e-05,274608493,708404286,851687897,2.2e-08,0,0
0.015152325,0.015406093,739212083.2,1852193997,0.871,0.016111647,8.53005e-05,317390719,675436646,820262679,2.14e-08,0,0
0.015001555,0.015003043,748502220.8,1859747430,0.873,0.015224987,8.49321e-05,305061348,777996496,869759428,2.34e-08,0,0
0.015303094,0.015356935,732620800,1858908160,0.873,0.015560929,8.46688e-05,326043133,728724486,825043565,2.2e-08,0,0
0.015680018,0.015733991,742554419.2,1862265242,0.9,0.016095053,8.65983e-05,282070051,632896787,966994398,2.35e-08,0,0
0.015529248,0.015379955,734065459.2,1856390349,0.891,0.015512899,8.23448e-05,325300210,713194303,843252588,2.28e-08,0,0
0.005503083,0.005444628,738206105.6,2400297370,0.65,0.005392468,2.74301e-05,678657671,939892498,1172112880,8.3e-09,0,1
0.00512616,0.005185599,744736768,2394422477,0.898,0.005254283,2.73282e-05,732018261,1104861875,1309151568,7.1e-09,0,1
0.004146159,0.004205502,740469145.6,2401975910,0.9,0.00426631,2.06526e-05,1019011969,1541116192,2068129278,6.4e-09,0,1
0.005201544,0.00520207,738573516.8,2418761318,0.899,0.005329297,2.75331e-05,1293069370,1694120263,1847662251,7.5e-09,0,1
0.004824621,0.004766107,742873497.6,2396101018,0.9,0.004744342,2.49258e-05,884165147,1373815421,1663633630,7.6e-09,0,1
0.005804622,0.005805192,735531417.6,2399458099,0.897,0.005807634,3.1299e-05,720298923,1012369541,1271785258,8e-09,0,1
0.004900006,0.004900457,731735654.4,2407850803,0.899,0.004873955,2.62161e-05,1088818725,1588339602,1682562456,7.5e-09,0,1
0.005503083,0.005569131,738042265.6,2401975910,0.903,0.005784898,3.11051e-05,882081804,1315699982,1756295198,7.5e-09,0,1
0.005427698,0.005428276,733772185.6,2401136640,0.901,0.005573193,2.92905e-05,896383552,1265546450,1741393330,8.4e-09,0,1
0.004447697,0.004520214,735449088,2426314752,0.903,0.004773704,2.52769e-05,935509242,2448204942,2775628517,6.8e-09,0,1
0.005276929,0.005202033,741580800,2393583206,0.907,0.005147798,2.55537e-05,764188969,1216880523,1555775965,7.9e-09,0,1
0.00497539,0.004975879,748265062.4,2393583206,0.903,0.005140445,2.85483e-05,797027205,1184733955,1282169831,6.8e-09,0,1
0.004673851,0.004598963,752278323.2,2397779558,0.899,0.004743123,2.6004e-05,760836588,1340919495,1776705065,7.4e-09,0,1
0.006483084,0.006483654,748467814.4,2404493722,0.9,0.00658252,3.38001e-05,671781248,1018452379,1255544411,8.2e-09,0,1
0.004673851,0.004598977,738300723.2,2417922048,0.9,0.00475348,2.52603e-05,1302656339,1917439212,3015266689,7.2e-09,0,1
0.00512616,0.005198729,748219596.8,2393583206,0.9,0.005349091,2.85789e-05,931396856,1296892850,1481260004,7.9e-09,0,1
0.004673851,0.004680868,749144883.2,2391904666,0.9,0.004888644,2.62043e-05,694961235,976360443,1209671112,7.2e-09,0,1
0.005050775,0.005051226,749075251.2,2398618829,0.898,0.005108674,2.6384e-05,850628717,1336862706,1597276703,6.2e-09,0,1
0.005276929,0.005277417,713837772.8,2406172262,0.902,0.005222078,2.62999e-05,906714565,1367620487,1564873337,8e-09,0,1
0.004673851,0.004661173,722441830.4,2398618829,0.903,0.004610419,2.40948e-05,1000689080,1373963498,1677154402,6.6e-09,0,1
0.005653853,0.005654378,724221952,2396940288,0.899,0.005564065,2.91489e-05,712994241,1155764346,1466356747,8e-09,0,1
0.005352314,0.005352884,713039462.4,2401136640,0.901,0.00549556,2.81335e-05,911102975,1461540289,1752135357,8e-09,0,1
0.007387701,0.007388352,715628544,2417082778,0.848,0.007426965,3.83428e-05,722157932,1389247929,2157302272,1.17e-08,0,1
0.015604633,0.015782981,721684070.4,1863943782,0.894,0.015825181,8.38e-05,406144310,796109496,908141718,2.28e-08,0,0
0.014926171,0.014632768,735662899.2,1877372109,0.861,0.014795491,8.12001e-05,427382208,837748397,898661259,2.01e-08,0,0
0.014172324,0.013865781,732741222.4,1866461594,0.853,0.013896423,7.29549e-05,369256127,769321681,877754566,2.17e-08,0,0
0.014096939,0.01424904,737754726.4,1885764813,0.821,0.014412683,8.12624e-05,455584693,801863624,895450116,2.11e-08,0,0
0.015378479,0.01488189,741514035.2,1880729190,0.858,0.015048445,8.0091e-05,496030233,781018821,924182015,2e-08,0,0
0.013267707,0.01347221,733215948.8,1894157517,0.839,0.013990086,7.26682e-05,551786270,779031649,838817544,2.1e-08,0,0
0.015604633,0.015475108,734653644.8,1875693568,0.894,0.015595796,8.2676e-05,344470690,702578002,830209155,2.41e-08,0,0
0.014247708,0.014229557,728215961.6,1896675328,0.848,0.014574515,7.8301e-05,500165919,808737025,984901116,2.09e-08,0,0
0.015303094,0.015304582,722588876.8,1872336486,0.88,0.015518508,8.44812e-05,426045051,777735322,900983037,2.29e-08,0,0
0.015604633,0.015606246,734935449.6,1867300864,0.891,0.015909535,8.36317e-05,343493349,715537825,826668405,2.31e-08,0,0
0.014775401,0.014835847,744631500.8,1859747430,0.882,0.015059067,7.81158e-05,392671000,788181326,863667403,2.24e-08,0,0
0.01507694,0.015078302,746245734.4,1870657946,0.822,0.015180816,8.14009e-05,268195693,735492072,817495149,1.96e-08,0,0
0.014549247,0.014501505,739991142.4,1896675328,0.815,0.014611675,7.84158e-05,622076372,767294444,813113929,2.25e-08,0,0
0.014398478,0.014655454,746079846.4,1869818675,0.849,0.015111713,8.40748e-05,300156132,766503602,802383452,1.94e-08,0,0
0.014624632,0.015291262,746563584,1873175757,0.889,0.016104739,8.52882e-05,377607467,831900262,886473692,2.13e-08,0,0
0.015680018,0.015616016,741498880,1873175757,0.895,0.015601539,8.43491e-05,415481485,790471450,886681327,2.36e-08,0,0
0.014926171,0.014855614,733452288,1863104512,0.857,0.01567543,8.78039e-05,277219471,550461187,735150060,2.14e-08,0,0
0.015227709,0.015229175,740461772.8,1849676186,0.888,0.015301094,7.82152e-05,432509888,797158638,864201481,2.28e-08,0,0
0.015378479,0.01545541,739556147.2,1846319104,0.898,0.015874644,8.36363e-05,322747749,663980405,842912700,2.35e-08,0,0
0.01507694,0.01506858,733784883.2,1854528307,0.879,0.015245142,8.48268e-05,285304567,618619457,795940797,2.18e-08,0,0
0.014926171,0.014927762,742922240,1856967475,0.882,0.015355807,7.96289e-05,373570592,759533191,869576868,2.2e-08,0,0
0.015529248,0.015851945,741706137.6,1867877990,0.9,0.016278545,8.63502e-05,336633030,764223359,856659114,2.34e-08,0,0
0.01394617,0.013947576,748958515.2,1886341939,0.82,0.014216065,7.57685e-05,466002986,803152179,855504185,2.08e-08,0,0
0.015529248,0.015530706,737505280,1873752883,0.875,0.015552324,8.37061e-05,349820518,758682329,1010570590,1.97e-08,0,0
0.015755402,0.015697894,735256576,1870395802,0.882,0.016063235,8.89117e-05,420038439,767191793,814363133,2.35e-08,0,0
0.014775401,0.01477697,746007347.2,1865360179,0.871,0.015225341,8.22496e-05,344596800,743746553,840370004,2.16e-08,0,0
0.01507694,0.015019329,1118186701,5129358541,0.857,0.015021021,8.12819e-05,417095895,825331622,951810789,2.16e-08,0,1
0.006484576,0.005956211,1516404677.4857142,8495720682.057143,0.409,0.006016983,3.01802e-05,558309008,1230878203,1541407987,9e-09,0,1
0.007389618,0.007447449,1506103706,8482382643,0.463,0.007690393,3.87492e-05,474899779,948955722,1341798706,1.12e-08,0,1
0.007012908,0.006791976,1635933798,9345999667,0.437,0.006816744,3.62671e-05,718021699,1591736401,1801335236,1.02e-08,0,1
0.002338631,0.002484655,1634661990,9322596625.066666,0.166,0.002795969,1.35379e-05,744672117,1264691046,1887894836,3.9e-09,0,1
2.131e-06,1.5e-08,1632738736.3555555,9329975296,0.03,1.782e-07,1.782e-07,0,0,0,0,0,1
0.002188287,0.002156848,1389174647.4666665,7640480973,0.164,0.002017752,1.10554e-05,1872422093,7381637381,21186065574,2.3e-09,0,1
0.006485002,0.006408342,1389366067,7629202637,0.393,0.006473856,3.32445e-05,561719245,1315475999,2191470505,9.4e-09,0,1
0.006334233,0.006346087,1148432794,5934226637,0.402,0.006695943,3.34885e-05,470296211,998012896,1407544760,9.6e-09,0,1
0.007465003,0.007463861,1154409267.1999998,5939499008,0.452,0.007844238,3.75674e-05,482427356,985973979,1592351111,1.13e-08,0,1
0.008143679,0.008066977,1158194608.3555555,5963575706,0.485,0.008283544,4.40735e-05,553840034,1115525626,1522978310,1.1e-08,0,1
0.007163464,0.00721466,1397562299.733333,7632709085.866667,0.439,0.007589876,4.00077e-05,449927659,1086963011,2748443433,9.9e-09,0,1
0.006560387,0.006487076,1524365858.1333334,8480554734.933333,0.407,0.006746603,3.47654e-05,443337665,1165164200,1874798773,9.3e-09,0,1
0.0024894,0.002487951,1512570333.8666668,8475029367.466667,0.164,0.002508751,1.26991e-05,882349990,4002588280,4137050859,3.5e-09,0,1
0.006410044,0.006156078,1145542656,5953407931.733334,0.404,0.006162849,3.07698e-05,503647936,1892154550,3761309580,9.9e-09,0,1
0.006183463,0.006234622,1409776026,7633635738,0.395,0.006461292,3.29579e-05,441529405,1199549288,3175427132,1e-08,0,1
0.008746543,0.008820874,1407345459,7637857485,0.506,0.009022752,4.67027e-05,413840032,989509875,1572356175,1.21e-08,0,1
0.00618325,0.00591348,1270601728,6820312951.466666,0.37,0.005917039,3.15132e-05,592263657,2074832492,3426647095,8.8e-09,0,1
0.001810938,0.001901219,1263409152,6800165683,0.148,0.00196187,9.585e-06,432634334,794895018,821278883,3.4e-09,0,1
0.004826752,0.004749702,1387636053.3333333,7631318084.266667,0.304,0.004610031,2.49921e-05,605650148,8239788579,9682826637,7.2e-09,0,1
0.01040522,0.010456566,1516488567.466667,8475956019,0.656,0.010763312,5.67462e-05,357122142,659199431,884370644,1.52e-08,0,1
0.00897291,0.00897818,1394958609.0666666,7633573751.466666,0.544,0.009127257,4.68089e-05,428891544,907077744,1548744671,1.25e-08,0,1
0.010254237,0.010200869,1148022374,5950434918,0.589,0.010279745,5.29162e-05,414179988,786891468,953973319,1.44e-08,0,1
0.010932699,0.010931831,1394866586,7655394781.866666,0.662,0.011068093,5.80966e-05,438205957,1111117335,1435326254,1.62e-08,0,1
0.011535777,0.011482615,1401665946,7642250445,0.68,0.011788806,6.18019e-05,305884944,707547880,1308965889,1.72e-08,0,1
0.007691157,0.007542498,1412625203,7673447219,0.458,0.007640216,3.88801e-05,452893890,1117981847,3627842005,1.08e-08,0,1
0.010781504,0.010364914,1410514944,7654668288,0.644,0.010562107,5.57836e-05,339012226,1101085021,3836309411,1.58e-08,0,1
0.005505001,0.005487188,1279904563.1999998,6787129754,0.349,0.005385492,2.72371e-05,442403794,1003525301,3880933740,9e-09,0,1
0.01153599,0.011459592,1266204262,6798433485,0.684,0.011675512,6.01308e-05,387613266,566741434,857376937,1.67e-08,0,1
0.012214239,0.011594349,1280601429.3333333,6797332070,0.719,0.011506643,6.09367e-05,326453406,697461621,1187344361,1.77e-08,0,1
0.012514286,0.012655929,834272870.4,3840317440,0.755,0.012947219,6.58377e-05,356753143,728753866,933959749,1.8e-08,0,0
0.014021554,0.014022864,651856691.2,1852771123,0.825,0.014006152,7.18372e-05,290029210,639894539,1197076791,2.13e-08,0,0
0.014549247,0.014331122,648417280,1860324557,0.861,0.014509572,7.77536e-05,347233946,792581496,932815274,2.07e-08,0,0
0.012212321,0.012161071,661076787.2,1846896230,0.705,0.01212464,6.43711e-05,298879782,496690411,2177539399,1.77e-08,0,0
0.013569246,0.0135706,671216435.2,1839342797,0.808,0.013841572,7.09356e-05,292922952,666326357,1065266923,2.05e-08,0,0
0.015303094,0.015304589,674916352,1853610394,0.88,0.015483226,8.3034e-05,263105436,702234411,924538587,2.2e-08,0,0
0.015001555,0.014770459,670011392,1850253312,0.88,0.01493642,8.10501e-05,324156277,631694401,799336761,2.31e-08,0,0
0.014775401,0.014849006,676157030.4,1855288934,0.875,0.015399069,8.03744e-05,301748219,606141427,724897752,2.16e-08,0,0
0.015227709,0.015281594,663262822.4,1855288934,0.89,0.015498454,8.11535e-05,379982916,711634385,815179932,2.18e-08,0,0
0.015227709,0.015170224,662551347.2,1844378419,0.882,0.015425477,8.01033e-05,302219635,504871258,727636207,2.2e-08,0,0
0.014850786,0.014911245,668733030.4,1856967475,0.88,0.015363714,8.22756e-05,340833770,663553382,842270306,2.26e-08,0,0
0.011986167,0.011987448,667425177.6,1867038720,0.724,0.012392428,6.45295e-05,331641033,1767716606,2234859853,1.78e-08,0,0
0.015453864,0.015475019,682799104,1849414042,0.896,0.015780524,8.15028e-05,304087623,679274556,816354321,2.23e-08,0,0
0.014172324,0.014108233,674300313.6,1860324557,0.836,0.014362528,7.80622e-05,322372131,863455179,994436461,2.12e-08,0,0
0.01507694,0.015219336,672797900.8,1867877990,0.877,0.015498191,8.04599e-05,351710722,888054888,1049899858,2.06e-08,0,0
0.013493861,0.013364159,654062796.8,1862842368,0.793,0.013415296,7.07604e-05,349095177,966362170,1259021732,2.08e-08,0,0
0.014549247,0.01394136,650906009.6,1866199450,0.878,0.014514024,7.68457e-05,427925429,837318374,873910625,2.09e-08,0,0
0.015227709,0.01516363,657126195.2,1865360179,0.891,0.015297445,7.95943e-05,356662898,817472802,914133181,2.32e-08,0,0
0.015227709,0.015229263,657096704,1857806746,0.899,0.015464703,8.07083e-05,334073283,656249507,791502007,2.18e-08,0,0
0.015303094,0.015370205,667249459.2,1856967475,0.893,0.015802271,8.31424e-05,316519714,743156126,896882530,2.32e-08,0,0
0.015453864,0.015311154,663329177.6,1856967475,0.894,0.015347764,8.07509e-05,302250330,700915827,847555324,2.26e-08,0,0
0.011910783,0.011912033,672693452.8,1875431424,0.746,0.012341283,6.52182e-05,341008675,1368550957,2213699562,1.89e-08,0,0
0.015378479,0.015491469,667024588.8,1856128205,0.9,0.016277732,8.62005e-05,284962882,576929318,775721962,2.25e-08,0,0
0.015303094,0.015229271,658673664,1863681638,0.896,0.015570171,8.42522e-05,415170024,738069908,868205101,2.29e-08,0,0
0.014850786,0.014927725,653485260.8,1870395802,0.89,0.015354425,8.0025e-05,407122740,790402557,871681801,2.21e-08,0,0
