total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.01123232,0.011233342,525180108.8,2105008947,0.65,0.011577326,3.92666e-05,250383164,442464174,692473114,1.43e-08,0,0
0.014172324,0.014239234,526354022.4,2119276544,0.849,0.014682119,5.08932e-05,279722033,414663779,765978614,2.13e-08,0,0
0.013720015,0.013885159,527160115.2,2130187059,0.817,0.014136253,5.42048e-05,265511671,463168345,606494713,2e-08,0,0
0.01394617,0.013872124,527942041.6,2130187059,0.82,0.014028449,5.47949e-05,250186180,437641906,607876253,2.06e-08,0,0
0.01394617,0.013816422,528609689.6,2137740493,0.855,0.013953128,5.0936e-05,290895549,465470330,551103453,2e-08,0,0
0.01394617,0.014006474,529069670.4,2128508518,0.875,0.014360939,5.27417e-05,271699088,411783184,537291521,2.01e-08,0,0
0.014172324,0.014245788,529432985.6,2124312166,0.879,0.014843818,5.32942e-05,252189011,456252476,591497033,2.05e-08,0,0
0.014624632,0.014626008,529886822.4,2124312166,0.881,0.014787859,5.18963e-05,274037733,435717980,516289180,2.06e-08,0,0
0.014398478,0.014275388,530259968,2125151437,0.836,0.014532837,5.0892e-05,280472930,419953118,495703796,2.17e-08,0,0
0.014775401,0.014911209,530586009.6,2123472896,0.875,0.015191865,5.17838e-05,242357216,376441347,498808662,2.21e-08,0,0
0.01507694,0.015153827,531051724.8,2120955085,0.882,0.015353449,5.79057e-05,217182014,310957523,429075524,2.22e-08,0,0
0.014247708,0.0142491,531350323.2,2127669248,0.882,0.014428248,4.96871e-05,277585154,411958892,526503085,2.07e-08,0,0
0.012212321,0.012147971,531648102.4,2130187059,0.818,0.012145145,4.39915e-05,308381177,556103284,817336327,1.82e-08,0,0
0.014926171,0.014927643,531943833.6,2122633626,0.882,0.015147775,5.14611e-05,267504349,405639769,485511547,2.16e-08,0,0
0.014247708,0.0142491,532337868.8,2131865600,0.884,0.014525689,5.382e-05,282292627,418336210,487369407,2.11e-08,0,0
0.014624632,0.014560567,532475084.8,2127669248,0.898,0.014757308,4.92668e-05,277431493,389812149,475748058,2.08e-08,0,0
0.014323093,0.014399899,532848640,2129347789,0.888,0.01481979,5.22218e-05,254070967,399212412,477776923,2.13e-08,0,0
0.015152325,0.015153812,533046067.2,2125990707,0.87,0.015443111,5.86345e-05,242482522,376342111,514135992,2.28e-08,0,0
0.014850786,0.014852207,533299200,2124312166,0.878,0.01513094,5.08181e-05,244110724,420975087,559863302,2.2e-08,0,0
0.014323093,0.014324477,542294016,2197328691,0.888,0.014427254,4.92019e-05,267099993,366448064,480970858,2.01e-08,0,0
0.002789234,0.002641976,547053977.6,2749628416,0.641,0.002716447,8.68e-06,873855337,1122841692,2101516013,3.3e-09,0,1
0.003015388,0.003015758,551383449.6,2732003738,0.9,0.00312328,1.28399e-05,967091720,10490236806,10509543605,5.1e-09,0,1
0.005427698,0.005369229,552380825.6,2696754381,0.897,0.0054504,2.07503e-05,794717917,1093381204,1324755402,7.5e-09,0,1
0.004673851,0.00467431,552350515.2,2695915110,0.909,0.004859407,1.77476e-05,911060298,1416444920,1620489264,7.1e-09,0,1
0.004447697,0.004448171,552536473.6,2704307814,0.901,0.004660361,1.64881e-05,983843316,1586881419,1792951486,6.9e-09,0,1
0.004447697,0.004448156,552605286.4,2709343437,0.899,0.004450411,1.66205e-05,883809643,1687550993,1910056739,6.8e-09,0,1
0.004523082,0.004523519,552593817.6,2700950733,0.901,0.004600342,1.65051e-05,883981832,1276511277,1739974032,6.3e-09,0,1
0.004673851,0.004674288,552619212.8,2701790003,0.9,0.004734425,1.68444e-05,926418360,1485856995,1667333290,7.4e-09,0,1
0.00512616,0.00512667,552819916.8,2703468544,0.899,0.005337039,1.87376e-05,799674952,1406490315,1763711860,7.8e-09,0,1
0.004749236,0.004825094,552884224,2700111462,0.903,0.004862586,1.81889e-05,809583845,1358982019,1709887808,6.6e-09,0,1
0.005427698,0.005428194,552918220.8,2714379059,0.899,0.005528073,2.08168e-05,890059041,1676761964,2102138105,7.3e-09,0,1
0.004221543,0.004274355,552930918.4,2705147085,0.901,0.004403717,1.54834e-05,1001889522,1626060066,2086135718,6.2e-09,0,1
0.005050775,0.005103623,553190195.2,2706825626,0.901,0.005094805,1.84844e-05,892942746,1391947383,1580005962,7e-09,0,1
0.004749236,0.004815225,553174220.8,2707664896,0.899,0.0048417,1.75702e-05,1076502524,1722590131,1898037463,7.7e-09,0,1
0.004673851,0.004674347,553189376,2720253952,0.898,0.004686905,1.61092e-05,1210955755,1759645993,2425975652,6.8e-09,0,1
0.004598467,0.004598926,553287680,2697593651,0.902,0.00471332,1.8059e-05,842305477,1539210978,1785764166,7.2e-09,0,1
0.00995078,0.009899331,553429401.6,2701790003,0.851,0.009962399,3.51804e-05,327661933,898655352,1491595665,1.43e-08,0,0
0.014398478,0.014399921,540769075.2,2121794355,0.86,0.014640738,5.22862e-05,231649240,417899874,740457414,2.15e-08,0,0
0.015001555,0.014944055,541026713.6,2122633626,0.877,0.015273167,5.10418e-05,254007406,359517955,571609725,2.22e-08,0,0
0.01507694,0.015078405,541155737.6,2121794355,0.887,0.015453813,5.54371e-05,244974523,387434177,510501646,2.19e-08,0,0
0.015227709,0.015229189,541372006.4,2129347789,0.864,0.015405604,5.38502e-05,243775929,358774039,568856456,2.23e-08,0,0
0.015981556,0.015983103,541452288,2120115814,0.896,0.016295061,5.45333e-05,237993431,369317796,439689789,2.38e-08,0,0
0.015604633,0.01560618,541575168,2125151437,0.894,0.015678526,5.71743e-05,224121631,339972244,449617783,2.3e-08,0,0
0.015303094,0.015229175,541743104,2130187059,0.851,0.01545356,5.51034e-05,236533610,351788758,447712896,2.18e-08,0,0
0.015604633,0.015658592,541942579.2,2124312166,0.878,0.015892252,5.63801e-05,253615291,385726287,454166608,2.3e-08,0,0
0.014624632,0.014573618,542048665.6,2122633626,0.865,0.014795116,5.06625e-05,245785503,401571608,629791168,2.19e-08,0,0
0.014473862,0.014550675,542239539.2,2120115814,0.869,0.014877663,5.51355e-05,249598525,383914293,546617816,2.12e-08,0,0
0.014549247,0.014426182,542413209.6,2129347789,0.893,0.014566158,4.82754e-05,274692009,385488039,469718920,2.11e-08,0,0
0.014398478,0.014340903,542559846.4,2126829978,0.885,0.014539366,4.838e-05,277288267,404541540,456089046,2.13e-08,0,0
0.014549247,0.01447855,542705254.4,2131026330,0.892,0.014652847,4.92798e-05,294322362,412083039,484908175,2.12e-08,0,0
0.014096939,0.014026279,542847795.2,2135222682,0.881,0.014343841,5.02941e-05,269984171,395053455,481029858,2.06e-08,0,0
0.014172324,0.014108237,542916608,2125151437,0.895,0.014325126,5.1034e-05,294420173,423807592,513381461,2.1e-08,0,0
0.014398478,0.014334383,543080857.6,2125990707,0.897,0.014750272,4.90316e-05,258111142,390028524,490581070,2.12e-08,0,0
0.015453864,0.015455358,543145164.8,2120955085,0.893,0.015547488,5.40782e-05,251363357,388681134,471706647,2.23e-08,0,0
