total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.001733848,0.001851957,592777216,1823717376,0.1,0.008939494,4.68445e-05,331302341,685598761,811988222,0,0,0
0.015680018,0.015681535,593161830.4,1858966733,0.89,0.015737865,8.50204e-05,316047634,692037571,799220434,2.07e-08,0,0
0.014473862,0.014475409,596454604.8,1848056218,0.899,0.015200025,7.84891e-05,309766887,738976751,883345754,2.29e-08,0,0
0.01507694,0.01507842,598325657.6,1844699136,0.9,0.015321783,8.20425e-05,295911211,707197077,902629244,2.14e-08,0,0
0.014850786,0.014986719,584686387.2,1874073600,0.897,0.015561044,8.43011e-05,367236765,769579023,823633614,2.37e-08,0,0
0.015152325,0.015265183,586065920,1842181325,0.899,0.015620767,8.3011e-05,341665614,644975082,810962246,2.21e-08,0,0
0.014549247,0.014632636,593121689.6,1853091840,0.877,0.014960281,8.07168e-05,308182873,801983717,906436626,2.12e-08,0,0
0.015981556,0.015910949,597954969.6,1861484544,0.889,0.015820371,8.35693e-05,361906512,722666383,841631338,2.26e-08,0,0
0.014700017,0.014504896,582411878.4,1887501926,0.881,0.014978374,7.91076e-05,539774584,827020005,886756678,2.1e-08,0,0
0.015227709,0.015229182,596204748.8,1864002355,0.867,0.015395155,8.4424e-05,380868655,765690012,848774024,2.2e-08,0,0
0.01507694,0.015137356,594114969.6,1846377677,0.899,0.015371569,8.17811e-05,282003571,680752944,857769902,2.26e-08,0,0
0.014624632,0.014701571,581407539.2,1853931110,0.898,0.015615383,9.0497e-05,361683299,763564299,858690686,2.27e-08,0,0
0.015227709,0.015229219,583319142.4,1892095590,0.9,0.015478921,8.74518e-05,333458231,1556893165,1778984008,2.14e-08,0,1
0.013116938,0.013046441,602284032,1989356339,0.899,0.013599956,7.93023e-05,517633529,2283347218,2558310577,2.22e-08,0,1
0.015529248,0.015530787,590968832,1850259046,0.901,0.015769696,8.99114e-05,310362121,596434833,737636081,2.38e-08,0,1
0.015981556,0.015858389,594108416,1881548800,0.9,0.01580738,8.2825e-05,312836710,1519661670,1802560750,2.07e-08,0,1
0.015378479,0.015380048,590391705.6,1834312909,0.899,0.015626108,8.3049e-05,311752257,471072750,607685242,2.2e-08,0,1
0.016132326,0.016278025,649582182.4,2256173056,0.899,0.01484662,8.48899e-05,2897575430,3258594965,3416990347,2.16e-08,0,1
0.015755402,0.015681549,591034368,1840626483,0.899,0.015866778,8.63283e-05,289234104,628172568,797454984,2.29e-08,0,0
0.015227709,0.015353696,587936563.2,1857411891,0.893,0.015667227,8.22388e-05,352897950,784824964,1047413032,2.22e-08,0,0
0.014323093,0.014324603,576419020.8,1876076954,0.886,0.014680041,8.24224e-05,628065774,815812320,887045579,2.2e-08,0,0
0.015152325,0.015153894,586980147.2,1856703693,0.892,0.015457404,8.71754e-05,323148020,772459657,813988377,2.22e-08,0,0
0.015453864,0.015307908,589977190.4,1844245709,0.89,0.015535438,8.71025e-05,285817465,518222184,869301875,2.29e-08,0,0
0.014850786,0.014757206,581616435.2,1862709658,0.89,0.014925026,7.8346e-05,335643753,797264933,890721265,2.23e-08,0,0
0.014549247,0.014750619,588204032,1855517901,0.889,0.015301232,7.83577e-05,347744928,767877308,894395045,2.21e-08,0,0
0.014247708,0.014249233,594427904,1870263091,0.867,0.014921659,8.1687e-05,316276640,688208461,778132302,2.1e-08,0,0
0.015830787,0.015707779,592779673.6,1860191846,0.898,0.015618515,8.30107e-05,332709183,709297240,844755970,2.32e-08,0,0
0.015303094,0.01498354,594883379.2,1849281331,0.896,0.015158592,8.0292e-05,277296709,504995498,870222550,2.2e-08,0,0
0.014850786,0.014852347,591724544,1839210086,0.899,0.015320427,8.40445e-05,297754309,523059379,716167268,2.27e-08,0,0
0.015152325,0.015206239,592739942.4,1856834765,0.886,0.015579626,8.4047e-05,366852349,777381619,860351981,2.28e-08,0,0
0.015981556,0.015983073,601259622.4,1853477683,0.898,0.015963756,8.50333e-05,349021159,725084313,834021134,2.31e-08,0,0
0.015152325,0.015225907,600644812.8,1840772710,0.878,0.01547489,8.22059e-05,281621279,499073762,905002477,2.22e-08,0,0
0.01507694,0.015078361,595396198.4,1868584550,0.886,0.015272375,8.15568e-05,393460610,779397319,829650549,2.21e-08,0,0
0.015604633,0.015540631,607465881.6,1844245709,0.894,0.015859259,8.55149e-05,317658367,501683656,714207127,2.33e-08,0,0
0.014926171,0.014937572,601275187.2,1850120602,0.885,0.015192442,8.50369e-05,298199549,589710485,714141860,2.21e-08,0,0
0.014624632,0.014626045,605942579.2,1854316954,0.889,0.01485065,7.91922e-05,331894217,709973446,854441576,2.11e-08,0,0
0.014247708,0.014396705,597602713.6,1855995494,0.888,0.0148954,7.9811e-05,317157850,778830304,904395220,2.27e-08,0,0
0.014926171,0.015163528,610942566.4,1835013734,0.899,0.015554754,8.23931e-05,280316451,515622641,677098513,2.23e-08,0,0
0.015906172,0.015907556,589331251.2,1906915328,0.858,0.015137657,8.25867e-05,463221371,1046762003,1162694627,1.95e-08,0,1
0.014398478,0.014399865,580127539.2,1918342758,0.858,0.0145733,8.14918e-05,680602868,1282320096,1413661104,2.18e-08,0,1
0.015152325,0.015081591,614217728,1954517811,0.889,0.015323976,8.12399e-05,768514539,1390749770,1456889594,2.2e-08,0,1
0.016660019,0.016661425,640740147.2,1903520973,0.901,0.016678044,9.0506e-05,301450551,1157999936,1435529897,2.01e-08,0,1
0.015227709,0.015091568,604047360,1952262963,0.895,0.0153578,8.3501e-05,515840875,1729979793,2008255306,2.6e-08,0,1
0.013870785,0.013937706,603480883.2,2009928499,0.841,0.014269925,8.0886e-05,493283148,1898296235,2335456620,1.9e-08,0,1
0.014850786,0.014852199,599296000,1898320691,0.865,0.015041466,8.40004e-05,312859057,1927575144,2101785499,2.1e-08,0,1
0.014172324,0.013043474,622498611.2,2083126886,0.895,0.012889177,7.52956e-05,1293331828,2231262767,2318995626,2.15e-08,0,1
0.014549247,0.015952787,634870169.6,1935701197,0.893,0.017285394,9.18928e-05,328674406,1601928627,1753814029,2.07e-08,0,1
0.012740014,0.012741679,638983782.4,2007909990,0.899,0.013540685,7.91013e-05,686923492,2943802848,3454366575,2.33e-08,0,1
0.014021554,0.012116419,653293977.6,2176572621,0.898,0.01187121,6.39415e-05,1816994048,2986427394,3235972555,2.24e-08,0,1
0.014850786,0.015166729,657761484.8,2038056550,0.88,0.01517299,8.22647e-05,450837409,3026029253,3356467456,2.18e-08,0,1
0.015529248,0.015530765,642177024,1847538074,0.9,0.015798245,8.74491e-05,284143285,533560304,742462629,2.19e-08,0,1
0.012740014,0.011204943,678207897.6,2247761101,0.884,0.011195653,6.05627e-05,2868987853,3394350223,3552157028,2.18e-08,0,1
0.013870785,0.013872317,649465446.4,2095947366,0.9,0.014489892,7.69576e-05,504752974,2811224609,3446306447,2.28e-08,0,1
0.015906172,0.016021915,695496704,2299133133,0.872,0.014904227,7.68221e-05,2569291452,3265159419,3415716802,1.28e-08,0,1
0.014624632,0.014698422,665021235.2,2141881549,0.867,0.015308828,8.34284e-05,775361449,3604091803,4016133945,2.64e-08,0,1
0.015453864,0.015455299,668098969.6,2056429158,0.894,0.015713731,8.16066e-05,504536825,3090535614,3400771508,2.24e-08,0,1
0.015906172,0.015750451,690076876.8,1850290176,0.899,0.015592697,8.59213e-05,306634987,559351865,696587775,2.31e-08,0,1
0.014700017,0.01464904,675650764.8,2114118042,0.861,0.014864823,8.82709e-05,420992600,3293608018,3680939997,2.13e-08,0,1
0.015227709,0.01557004,682630348.8,1894753894,0.9,0.016657544,9.503e-05,318900634,1179488380,1428515703,2.12e-08,0,1
0.015001555,0.015003183,701566976,1913747046,0.898,0.015495603,8.36135e-05,405035617,1537245291,2006256823,2.4e-08,0,1
0.014549247,0.014255768,707871948.8,2023370752,0.884,0.014391133,7.69354e-05,690375294,3019101473,3329103147,2.21e-08,0,1
0.015152325,0.015140727,676232806.4,1982436557,0.884,0.015335183,8.80373e-05,313345180,2528057262,2606841775,2.15e-08,0,1
0.015529248,0.015589612,677531238.4,1998733722,0.898,0.015596063,8.31183e-05,449281738,2404007025,2712177027,2.27e-08,0,1
0.014926171,0.014980077,698781696,1887095194,0.897,0.015335964,8.30622e-05,332456197,1432855368,1666842475,2.27e-08,0,1
0.015001555,0.014944092,719149875.2,1861555405,0.899,0.015233385,8.28351e-05,303588036,991973985,1262642856,2.27e-08,0,1
0.017036942,0.017038296,697781043.2,1974742630,0.887,0.016884409,9.14608e-05,420322853,1709746711,1914603609,1.63e-08,0,1
0.015453864,0.015514568,697391513.6,1889885798,0.901,0.015892986,8.4927e-05,374491005,2047873869,2464700212,2.55e-08,0,1
0.015303094,0.015304596,710035046.4,1928796979,0.898,0.015575576,8.49378e-05,412695097,1559700821,1761347838,2.24e-08,0,1
0.015227709,0.015229182,717511065.6,1859037594,0.899,0.015530444,8.60149e-05,335986592,710061231,881236648,2.15e-08,0,1
0.014473862,0.013938026,716496486.4,1906961203,0.891,0.014062119,7.63376e-05,409820826,1280787964,1401803552,2.1e-08,0,1
0.014850786,0.014852303,729597952,1916242330,0.887,0.015089948,8.20446e-05,403771037,1157078369,1280029240,2.35e-08,0,1
0.015906172,0.01590757,737281638.4,1895327334,0.892,0.015880346,8.62617e-05,447612803,989257632,1064661880,2.1e-08,0,1
0.014021554,0.014163888,739959193.6,1877501542,0.825,0.014474561,7.91586e-05,364333274,742043970,906106866,2.07e-08,0,0
0.015001555,0.015003087,741096652.8,1870787379,0.879,0.015358935,8.34453e-05,336856441,741191893,800669741,2.2e-08,0,0
0.014850786,0.014593483,730710425.6,1865751757,0.878,0.014917863,7.86337e-05,335429850,769830631,852873256,2.25e-08,0,0
0.015001555,0.014927636,739383296,1843091456,0.877,0.01520254,8.12975e-05,328412090,602401031,759761922,2.23e-08,0,0
0.014775401,0.014711344,745968435.2,1866591027,0.861,0.015122261,8.20369e-05,429131481,756769213,804287961,2.17e-08,0,0
0.015529248,0.015416062,729835520,1852323430,0.9,0.015572732,8.28213e-05,312187235,715834692,823438478,2.26e-08,0,0
0.016433865,0.01643533,732860825.6,1854841242,0.887,0.016365193,8.67783e-05,336192611,770030576,823712589,2.18e-08,0,0
0.015378479,0.01552749,741535334.4,1850644890,0.889,0.015848392,8.59392e-05,311941932,648176224,820515708,2.24e-08,0,0
0.015152325,0.015101422,736515276.8,1856519782,0.891,0.015449227,8.18526e-05,337045328,777450891,868335029,2.3e-08,0,0
0.015680018,0.015681546,738513305.6,1848127078,0.899,0.015715655,8.10704e-05,348133435,561725898,709667347,2.29e-08,0,0
0.016056941,0.016071632,747235737.6,1841412915,0.899,0.016233085,8.4333e-05,316120288,532178480,784899186,2.35e-08,0,0
0.015152325,0.015035895,748218368,1866108518,0.875,0.015109551,8.28596e-05,307188328,784528734,1025044114,2.25e-08,0,0
0.015529248,0.015530706,755528089.6,1863104512,0.893,0.015680416,8.24247e-05,354551175,749065089,873747214,2.19e-08,0,0
0.015227709,0.015376624,745698099.2,1850515456,0.892,0.015676471,8.29734e-05,309232572,465166790,658130062,2.29e-08,0,0
0.009724626,0.009725736,757498675.2,1842962022,0.619,0.00988236,5.16725e-05,447349183,777412508,843618407,1.48e-08,0,0
