total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.013418477,0.013495193,585330278.4,2018655437,0.896,0.013790953,4.91459e-05,387274948,682346395,843861906,1.84e-08,0,0
0.014549247,0.014498256,588467404.8,2009423462,0.898,0.014738595,5.2437e-05,324207020,518134679,731050170,2.11e-08,0,0
0.014850786,0.014904611,589962854.4,2003548570,0.899,0.015120798,5.23037e-05,310108195,471174952,575297412,2.13e-08,0,0
0.014926171,0.014927606,591854387.2,2011102003,0.9,0.015173112,5.42092e-05,337270016,576368569,807876920,2.19e-08,0,0
0.014096939,0.014150712,591550873.6,2022012518,0.889,0.01451095,5.11873e-05,361611423,683966251,816915877,2.1e-08,0,0
0.014775401,0.014776852,590137753.6,2021173248,0.889,0.015021694,5.62248e-05,379008041,673213240,794258695,2.12e-08,0,0
0.014473862,0.014481826,592666624,1995995136,0.899,0.014838111,5.20047e-05,297732162,477943309,573082339,2.17e-08,0,0
0.014473862,0.014475291,592785817.6,2006066381,0.895,0.014811092,5.27051e-05,302329179,497199214,663213380,2.14e-08,0,0
0.0137954,0.013849196,592651878.4,1993477325,0.9,0.014299765,4.90351e-05,281044508,418338825,582025574,2.07e-08,0,0
0.014549247,0.014616195,595402342.4,2001030758,0.899,0.014872259,5.29179e-05,339145325,481913870,657008372,2.09e-08,0,0
0.014247708,0.014249107,594811699.2,2010262733,0.9,0.014539311,5.12721e-05,305009350,656104322,768500714,2.14e-08,0,0
0.014775401,0.014645806,598416998.4,2020333978,0.895,0.01486165,5.33852e-05,352236348,580478471,729858502,2.13e-08,0,0
0.014624632,0.014573663,593940480,2015298355,0.884,0.014831932,5.43743e-05,361905142,696794139,766107262,2.11e-08,0,0
0.014549247,0.014406557,592191488,2011758182,0.9,0.014604774,5.21136e-05,313790294,592411641,799422472,2.15e-08,0,0
0.014021554,0.014075357,591966208,2009556992,0.877,0.014215043,5.30279e-05,329134101,670922430,771436364,2.12e-08,0,0
0.0137954,0.013849167,585501491.2,2011235533,0.877,0.014129648,5.26273e-05,335233308,540187214,815735798,2.03e-08,0,0
0.014624632,0.014626038,585327820.8,2002842829,0.899,0.014750541,5.1142e-05,300513272,500304240,638299338,2.19e-08,0,0
0.014096939,0.01402296,585304064,2003682099,0.9,0.01496938,5.44097e-05,326584998,522495349,784562655,2.08e-08,0,0
0.014398478,0.01444246,585251225.6,1991932314,0.899,0.014901346,5.2512e-05,323874370,512598372,705394142,2.19e-08,0,0
0.014247708,0.01438016,580811980.8,2029739213,0.9,0.01464508,5.19436e-05,322919060,1264128806,1676074263,2.09e-08,0,1
0.014700017,0.014835772,594034688,2013753344,0.899,0.014571669,5.40006e-05,370405135,726575775,871696182,2.12e-08,0,0
0.014172324,0.014239252,594565529.6,1996967936,0.898,0.014836578,5.19912e-05,291164336,509031305,650410875,2.12e-08,0,0
0.0137954,0.013872154,583280230.4,2012914074,0.901,0.014058751,5.25523e-05,302325408,674891684,1126658596,2.03e-08,0,1
0.015001555,0.015114391,588080742.4,2006199910,0.9,0.014638517,5.16546e-05,306243551,537502871,664384076,2.26e-08,0,0
0.014926171,0.014852251,586036019.2,2012074803,0.866,0.015192118,5.59596e-05,316059563,616887610,813756734,2.13e-08,0,0
0.015303094,0.015504481,586235494.4,1996128666,0.9,0.015866963,5.91085e-05,304524319,573444697,681387750,2.28e-08,0,0
0.015001555,0.014950631,583689011.2,2013114368,0.874,0.015246036,5.80275e-05,318970650,597329715,706846850,2.24e-08,0,0
0.015529248,0.015530765,588436684.8,1987735962,0.9,0.015826022,5.62195e-05,289236206,479919981,733693496,2.27e-08,0,0
