total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.010629243,0.010558206,468484096,1768867547.4285717,0.6,0.016051198,7.8783e-05,318474382,590124151,759832767,8.5e-09,0,0
0.015529248,0.015448847,452972953.6,1775701606,0.898,0.015178616,7.17514e-05,304587099,550086898,726875363,2.27e-08,0,0
0.01507694,0.015006347,466002739.2,1774023066,0.899,0.015386767,7.27812e-05,298904226,490771191,637478365,2.25e-08,0,0
0.015604633,0.01553736,454581452.8,1786612122,0.9,0.015954351,7.94189e-05,309195067,642895499,722827239,2.31e-08,0,0
0.015227709,0.01500637,463496806.4,1789969203,0.89,0.01511303,7.88535e-05,324581642,641346321,727274075,2.22e-08,0,0
0.015453864,0.015455321,450805760,1778219418,0.886,0.015444779,7.70955e-05,305343349,592598214,708965508,2.21e-08,0,0
0.015152325,0.015311068,456880537.6,1773183795,0.897,0.015473878,7.96159e-05,365679050,636231464,718535607,2.31e-08,0,0
0.015303094,0.015199824,472054169.6,1794165555,0.9,0.015504253,8.2248e-05,320504893,615834746,718649096,2.22e-08,0,0
0.015830787,0.015979762,469133721.6,1785772851,0.902,0.016065297,8.54916e-05,281070135,650287928,724248308,2.31e-08,0,0
0.014775401,0.014829345,469358182.4,1801718989,0.874,0.015416026,8.46327e-05,376800201,684424645,731177337,2.19e-08,0,0
0.015378479,0.015314444,473571737.6,1774862336,0.9,0.01527696,7.82926e-05,301958468,581620798,710967004,2.24e-08,0,0
0.015152325,0.015206246,479284019.2,1766469632,0.899,0.015565762,7.9327e-05,283642531,462346969,632915934,2.3e-08,0,0
0.01507694,0.015333973,478867865.6,1788290662,0.896,0.016365771,9.18146e-05,301837825,591720352,696121021,2.05e-08,0,0
0.015227709,0.015275086,467363840,1801836954,0.899,0.015492364,9.50915e-05,384631570,817865352,1074082107,2.3e-08,0,0
0.015303094,0.014302173,546234368,2157843251,0.899,0.012265848,6.91946e-05,495160617,4239063225,4649045368,2.03e-08,0,1
0.01507694,0.015019388,460791808,2066203443,0.899,0.01509506,8.46259e-05,1350125338,2691715209,2968252148,2.18e-08,0,1
0.015529248,0.015406095,485694668.8,1840767386,0.898,0.015309382,8.62942e-05,307416032,1318521338,1494637504,2.18e-08,0,1
0.012966168,0.011381537,571903180.8,2424398234,0.833,0.009610897,5.61882e-05,3527601575,4140555523,4319222866,1.36e-08,0,1
0.015755402,0.015557605,498414796.8,1854369792,0.901,0.016094742,9.48267e-05,443447848,3691201894,4578681375,3.01e-08,0,1
0.014021554,0.0136071,519904870.4,1826020557,0.9,0.01324881,7.26822e-05,290434106,1452342984,2035065746,2.19e-08,0,1
0.015680018,0.015609373,519831961.6,1790932173,0.899,0.015612342,8.0619e-05,313434805,637181439,735165951,2.34e-08,0,0
0.015378479,0.015314488,522388275.2,1784218010,0.9,0.015623941,8.17632e-05,296727589,604360469,717880145,2.24e-08,0,0
0.01507694,0.015143961,516184473.6,1784218010,0.886,0.015414523,8.42945e-05,255586467,620568548,697657666,2.21e-08,0,0
0.015227709,0.015304611,508692480,1782539469,0.896,0.015461407,8.51111e-05,292662888,549963503,686613168,2.26e-08,0,0
0.015152325,0.0152128,508973056,1783378739,0.893,0.015449496,8.24206e-05,252095335,518028407,688503974,2.25e-08,0,0
0.015152325,0.015196337,502094643.2,1800164147,0.897,0.015419079,8.1465e-05,335244050,570504204,720620898,2.21e-08,0,0
0.015227709,0.015209558,505680691.2,1785896550,0.885,0.015460592,8.54238e-05,289548736,517521221,685412512,2.25e-08,0,0
0.015378479,0.015380025,512443596.8,1799324877,0.899,0.015601831,8.25122e-05,312695751,618259265,726424641,2.25e-08,0,0
0.015529248,0.015530795,516229120,1801003418,0.896,0.015749931,8.60632e-05,316214879,628393000,756976667,2.26e-08,0,0
0.015152325,0.015153834,522254336,1782539469,0.9,0.015318384,7.92338e-05,274272343,422576382,629707749,2.28e-08,0,0
0.01507694,0.015150485,520675328,1785057280,0.9,0.01536094,8.05182e-05,282907610,495498912,797814324,2.26e-08,0,0
0.015604633,0.015606165,528233267.2,1782539469,0.9,0.015739691,8.12781e-05,295994624,495431974,712879616,2.32e-08,0,0
0.015604633,0.015606106,518642483.2,1793449984,0.899,0.015696535,8.17395e-05,342802567,636595507,784900325,2.21e-08,0,0
0.015378479,0.015380003,523486003.2,1785896550,0.9,0.015521357,8.27588e-05,305008406,495447006,649697122,2.26e-08,0,0
0.015378479,0.015379996,527510323.2,1792610714,0.886,0.01563425,8.25284e-05,318151934,551615447,749814639,2.3e-08,0,0
0.015453864,0.015527446,532763033.6,1782539469,0.897,0.015782491,8.79581e-05,312226033,641638408,700266121,2.24e-08,0,0
0.015604633,0.015681564,530307481.6,1795128525,0.899,0.015927502,8.56844e-05,325270915,621461953,739507887,2.31e-08,0,0
0.015378479,0.015589668,535723212.8,1779182387,0.902,0.015838033,8.42072e-05,288187139,492578053,617972795,2.28e-08,0,0
0.01507694,0.015055455,535726080,1774146765,0.899,0.015340224,7.90153e-05,272884016,453690615,518574995,2.21e-08,0,0
0.015378479,0.015360357,537492275.2,1781700198,0.902,0.015741309,8.30198e-05,309968171,496299743,604965630,2.28e-08,0,0
0.015755402,0.015763484,545952153.6,1802681958,0.9,0.015866508,8.63774e-05,304669155,934523766,1182330356,2.29e-08,0,0
0.014926171,0.014927636,542106009.6,1778343117,0.897,0.015258195,8.18884e-05,297751455,476077699,754661747,2.24e-08,0,0
0.012966168,0.012967671,528568729.6,1828699341,0.9,0.013506965,7.31144e-05,360866139,1470061310,1660706646,2.17e-08,0,0
0.015303094,0.01515382,515234201.6,1823909888,0.899,0.015325646,8.06347e-05,311701950,1612052936,1835246648,2.28e-08,0,0
0.015378479,0.015380018,501687910.4,1787228160,0.899,0.015816192,8.71892e-05,291314757,527145720,1049480004,2.3e-08,0,0
0.015001555,0.015121003,523080908.8,1798138675,0.9,0.015414849,8.87802e-05,330368189,774979076,1003771897,2.23e-08,0,0
0.015378479,0.015314447,530679808,1775478374,0.899,0.015533458,8.56393e-05,293053749,481552307,683690248,2.23e-08,0,0
0.014473862,0.014403204,544750387.2,1963362714,0.858,0.014703547,8.6835e-05,333318661,2687091864,2814283404,1.85e-08,0,1
0.013418477,0.013420075,527715942.4,1852095283,0.9,0.014122555,8.18222e-05,350756248,1719785208,2392428220,2.29e-08,0,1
0.015453864,0.015465169,525271449.6,1827783475,0.899,0.015634119,8.81037e-05,301552001,1266469442,1428722664,2.35e-08,0,1
0.015152325,0.01515382,568426086.4,2025012019,0.898,0.015354044,8.48704e-05,329845080,3312672752,3703043251,2.02e-08,0,1
0.014323093,0.014206146,561035673.6,2136064410,0.858,0.013984965,7.47108e-05,1520652357,3975898161,4223367931,2.12e-08,0,1
0.017866174,0.018398278,525497139.2,1841288397,0.9,0.018604698,9.91384e-05,330836951,573451416,677669960,1.92e-08,0,1
0.012815399,0.012594324,563071385.6,1918093312,0.9,0.013225266,7.6513e-05,481802991,2906483607,3109308626,2.46e-08,0,1
0.015378479,0.01538004,571739340.8,1798405325,0.899,0.015711089,8.75151e-05,325955268,467497079,732700432,2.21e-08,0,1
0.016132326,0.017106847,552674918.4,2138309837,0.899,0.016749119,9.01053e-05,1373001055,2990522868,3407229653,1.86e-08,0,1
0.0137954,0.013223803,565130035.2,2105905152,0.899,0.013280121,7.89859e-05,2024348114,3499008337,3918487625,2.54e-08,0,1
0.015529248,0.015530758,546931916.8,1796460134,0.899,0.015744762,8.83782e-05,311955308,647920665,963866482,2.27e-08,0,1
0.01507694,0.015019492,631377920,2122051584,0.899,0.015142092,8.43613e-05,536263153,4412355173,4771895252,2.13e-08,0,1
0.017338481,0.017228184,618060595.2,2012685517,0.873,0.016610729,8.68533e-05,280257616,506491940,2168707706,1.55e-08,0,1
0.015529248,0.015583614,572218982.4,1932558746,0.899,0.016116832,9.24936e-05,405688978,3907060366,4186636626,2.71e-08,0,1
0.015303094,0.015366889,589074841.6,1782902374,0.9,0.015611667,8.75997e-05,298499190,583430503,1298797508,2.43e-08,0,1
0.015152325,0.015271773,591826124.8,1771991859,0.899,0.015622819,8.47805e-05,265763191,408315322,542314047,2.24e-08,0,1
0.015453864,0.015455381,587428249.6,1785420186,0.899,0.015654523,8.95985e-05,301192750,541449452,680932768,2.32e-08,0,1
0.015001555,0.01454717,587599052.8,2027929190,0.886,0.013663297,7.58871e-05,575764898,2816876018,3179106840,2e-08,0,1
0.015378479,0.015176841,574071603.2,1827898163,0.898,0.015323798,8.46674e-05,304824353,977619671,1521212439,2.22e-08,0,0
0.015152325,0.01514072,577941913.6,1837130138,0.9,0.015423702,8.65771e-05,333373598,1821574500,1993260308,2.18e-08,0,0
0.015529248,0.015530743,565706752,1815309107,0.9,0.015743224,8.85196e-05,283435507,739154421,1303631652,2.28e-08,0,0
0.015227709,0.015288184,576857292.8,1784256102,0.899,0.01539123,8.32326e-05,285145925,457996859,604081322,2.27e-08,0,0
0.015755402,0.015681564,577869414.4,1886836326,0.9,0.015798264,8.63247e-05,391270244,1482806507,1771165677,2.28e-08,0,0
0.015453864,0.015520851,589578240,1825975501,0.899,0.015439608,8.21685e-05,300033593,1316551297,1523130924,2.21e-08,0,0
0.015529248,0.015530765,598820864,1794083226,0.899,0.015644965,8.38892e-05,289006465,469785759,738005646,2.33e-08,0,0
0.015303094,0.015304522,606930944,1803315200,0.899,0.015460502,8.47706e-05,297149923,845751666,1087335631,2.26e-08,0,0
0.015680018,0.015681527,601013862.4,1787369062,0.9,0.015907466,8.48447e-05,277429203,550526346,804270289,2.27e-08,0,0
0.015227709,0.015281631,608455884.8,1787369062,0.899,0.015465141,8.12112e-05,299165678,463423996,554437074,2.23e-08,0,0
0.015453864,0.015383322,607110758.4,1785690522,0.899,0.015740827,8.39277e-05,252740146,425004085,526881741,2.33e-08,0,0
0.015604633,0.015665167,612542464,1789886874,0.9,0.015890621,8.46359e-05,287020714,500215831,639554349,2.27e-08,0,0
0.014021554,0.013957393,613257625.6,1783172710,0.899,0.01406043,7.32339e-05,297839864,431026667,545011628,2.04e-08,0,0
