total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns,Normal/Attack
0.009196933,0.009079898,460541366.85714287,1757526308.5714283,0.601,0.013350499,4.2806e-05,314494473,428986236,609723398,5.1e-09,0,0
0.012438476,0.012515074,461311180.8,1762674278,0.9,0.01266731,4.01717e-05,386392767,518886129,610245737,1.86e-08,0,0
0.013041553,0.013108353,461302169.6,1759317197,0.896,0.013313736,3.99315e-05,326641254,557025279,613277772,1.89e-08,0,0
0.011684629,0.011685746,459329126.4,1768549171,0.897,0.012031877,3.77182e-05,356983494,576331130,703709052,1.69e-08,0,0
0.012136937,0.012085724,458274816,1764352819,0.897,0.012418729,3.74278e-05,374893320,569291932,693022500,1.85e-08,0,0
0.011910783,0.011984054,459476172.8,1760995738,0.899,0.012343159,3.64789e-05,436962986,653465385,761454131,1.76e-08,0,0
0.012890784,0.012892064,460174950.4,1763513549,0.898,0.013150527,3.83487e-05,326091658,467482526,632335718,1.94e-08,0,0
0.012136937,0.012072535,463222374.4,1764352819,0.898,0.012064131,3.68853e-05,325481856,536383566,652136799,1.72e-08,0,0
0.011609244,0.011610383,461527040,1767709901,0.89,0.011920652,3.92154e-05,376290602,649660537,787508409,1.76e-08,0,0
0.011684629,0.011685761,466674892.8,1770227712,0.846,0.01174313,4.29465e-05,331683279,817274822,915759063,1.65e-08,0,0
0.011458474,0.011459651,471065804.8,1761835008,0.899,0.011971747,3.67223e-05,439191764,556694643,694324333,1.73e-08,0,0
0.011609244,0.011669401,469175910.4,1763513549,0.898,0.012060546,3.82579e-05,371839887,559870096,788286086,1.75e-08,0,0
0.011609244,0.011610428,470985113.6,1762674278,0.877,0.01210802,3.89596e-05,402878077,534726043,631527289,1.77e-08,0,0
0.012287706,0.01228889,471248076.8,1763513549,0.899,0.012496917,4.14006e-05,334087036,508935946,578975998,1.82e-08,0,0
0.01266463,0.012665858,471240294.4,1760156467,0.9,0.012828773,3.92732e-05,306138940,469326124,580595916,1.83e-08,0,0
0.013343092,0.013344417,471348838.4,1759317197,0.9,0.013618114,4.36611e-05,298752205,444906669,566500568,2e-08,0,0
0.012890784,0.012760974,471322214.4,1760995738,0.889,0.012968134,4.23074e-05,330543909,474670807,573211027,1.89e-08,0,0
0.013192323,0.01319361,470492364.8,1760995738,0.9,0.013499131,4.20429e-05,302715710,452278095,579428332,1.87e-08,0,0
0.01251386,0.01253156,470441574.4,1761835008,0.901,0.012750842,3.77886e-05,341342961,642328922,769442917,1.83e-08,0,0
0.012363091,0.012305294,471212851.2,1760995738,0.901,0.012388563,3.84241e-05,347317725,567496793,700243196,1.76e-08,0,0
0.012136937,0.012138143,467430195.2,1763513549,0.9,0.01238171,3.66425e-05,410557672,547075906,700958470,1.81e-08,0,0
0.012589245,0.012665851,471055155.2,1759317197,0.909,0.012903841,3.86986e-05,354614040,533692248,691701277,1.83e-08,0,0
0.012136937,0.012423215,469911142.4,1764352819,0.893,0.013301501,4.07157e-05,359629899,579529094,751666915,1.81e-08,0,0
0.012212321,0.01221355,469959884.8,1776102605,0.9,0.012770824,3.72588e-05,451503492,676931293,814548930,1.84e-08,0,1
